This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-00:04:58]  (Local) -> (LOCAL)[2]Roco: es que no me lo tomo enserio con fiona bailando gangstyle
[2021:05:03-00:05:00]  (Global) -> PRO: digame
[2021:05:03-00:05:00]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: a eso hace referencia
[2021:05:03-00:05:00]  (Local) -> (LOCAL)[1]JuliethVasquez: uy platica tirada
[2021:05:03-00:05:00]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:05:00]  (Local) -> (LOCAL)[2]Roco: enfrente mio
[2021:05:03-00:05:00]  (Team - Services) -> (TEAM)KINGFERRO: /resing
[2021:05:03-00:05:00]  (Team - Services) -> (TEAM)MONDA'2cb: PUES TENGO UNO PERO NO ESTA A LA VENTA
[2021:05:03-00:05:03]  (Local) -> (LOCAL)[1]Tabares[Z]: eso veo XD
[2021:05:03-00:05:04]  (Local) -> (LOCAL)[2]Avalencia: quitate fiona
[2021:05:03-00:05:04]  (Local) -> (LOCAL)[1]Yesid_[CDG]: como haci
[2021:05:03-00:05:07]  (Global) -> PRO: cual
[2021:05:03-00:05:07]  (Local) -> (LOCAL)[2]Avalencia: que en esta no salis sapa
[2021:05:03-00:05:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: tiene para curarse?
[2021:05:03-00:05:08]  (Local) -> (LOCAL)[2]KINGFERRO: /reding
[2021:05:03-00:05:11]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~: gualdron mi amor
[2021:05:03-00:05:11]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: esperen ya saco todos en o¿rden
[2021:05:03-00:05:14]  (Team - Services) -> (TEAM)MONDA'2cb: EL ELEGY
[2021:05:03-00:05:14]  (Global) -> iguana_97: compa 
[2021:05:03-00:05:14]  (Global) -> Peyeta'2cb|#E20280 ඞ: VENDO OCEANIC TURISMO Y HTR 1
[2021:05:03-00:05:15]  (Global) -> iguana_97: compa 
[2021:05:03-00:05:16]  (Local) -> (LOCAL)[2]Roco: vea
[2021:05:03-00:05:17]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: pero digamos como lo arrestaria
[2021:05:03-00:05:17]  (Team - Services) -> (TEAM)MONDA'2cb: TUNEADO
[2021:05:03-00:05:17]  (Local) -> (LOCAL)[3]KINGFERRO: tttt
[2021:05:03-00:05:20]  (Local) -> (LOCAL)[2]Beltrancho|EVG: tengo que esperas 5min
[2021:05:03-00:05:20]  (Local) -> (LOCAL)[2]Roco: avalencia pille
[2021:05:03-00:05:21]  (Global) -> NAYACO: unete
[2021:05:03-00:05:22]  (Global) -> iguana_97: como aresto gente
[2021:05:03-00:05:22]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: pegandole con el bolillo?
[2021:05:03-00:05:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: primero curese
[2021:05:03-00:05:24]  (Team - Law Enforcement) -> (TEAM)ArquezCriss: TSUBETE
[2021:05:03-00:05:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: si
[2021:05:03-00:05:27]  (Local) -> (LOCAL)[5]#7F7F7F|LG|#FF0000tussy'2cb: jj
[2021:05:03-00:05:31]  (Global) -> ArquezCriss: CON EL TAYSER
[2021:05:03-00:05:31]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: iguana_97 con el bolillo les pegas
[2021:05:03-00:05:32]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: ok gracias
[2021:05:03-00:05:34]  (Local) -> (LOCAL)[4]FLOREZ_[CDG]: AYUDE XD
[2021:05:03-00:05:34]  (Local) -> (LOCAL)[2]Avalencia: teso
[2021:05:03-00:05:36]  (Global) -> SordidIntestines27: oe
[2021:05:03-00:05:36]  (Global) -> Mr_KR_[AKT]: a cuanto peyeta
[2021:05:03-00:05:37]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: como me curo?
[2021:05:03-00:05:38]  (Local) -> (LOCAL)[2]Avalencia: y despeus de esa esta
[2021:05:03-00:05:41]  (Team - Law Enforcement) -> (TEAM)ArquezCriss:  lo comopras en las armas 
[2021:05:03-00:05:42]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: XD
[2021:05:03-00:05:44]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: con el taser los aturdes por 5segs
[2021:05:03-00:05:45]  (Local) -> (LOCAL)[4]Niche-[Capu]: oiga
[2021:05:03-00:05:47]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:05:49]  (Local) -> (LOCAL)[2]Avalencia: y lanze un puño
[2021:05:03-00:05:49]  (Global) -> Peyeta'2cb|#E20280 ඞ: Mr_KR_[AKT] cual es los 3
[2021:05:03-00:05:51]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: quitre
[2021:05:03-00:05:52]  (Local) -> (LOCAL)[4]Niche-[Capu]: y este a cuanto me lo deja?
[2021:05:03-00:05:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: con el f6
[2021:05:03-00:05:54]  (Local) -> (LOCAL)[3]Topo|Z|: F
[2021:05:03-00:05:54]  (Global) -> SordidIntestines27: me ayudan
[2021:05:03-00:05:56]  (Local) -> (LOCAL)[4]MONDA'2cb: severa compra venta ñero JAJAJ
[2021:05:03-00:05:57]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ya le dí curas
[2021:05:03-00:05:57]  (Local) -> (LOCAL)[4]TiroVisco.: monda vale pa pura monda eche mi vale no joa
[2021:05:03-00:05:57]  (Local) -> (LOCAL)[2]Avalencia: eso jajajaja
[2021:05:03-00:06:01]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: xd xd
[2021:05:03-00:06:02]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: SordidIntestines27 que pasa¿
[2021:05:03-00:06:05]  (Local) -> (LOCAL)[2]Roco: ale
[2021:05:03-00:06:09]  (Global) -> Niche-[Capu]: y este a cuanto me lo deja?
[2021:05:03-00:06:12]  (Local) -> (LOCAL)[2]Roco: ponga contador
[2021:05:03-00:06:12]  (Local) -> (LOCAL)[2]JuliethVasquez: uy papi pero usted si tiene carros
[2021:05:03-00:06:12]  (Global) -> thomasssj: estoy bug
[2021:05:03-00:06:13]  (Global) -> samuel126[CDG]: porque 300 segundos que hp
[2021:05:03-00:06:14]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:06:14]  (Global) -> Mr_KR_[AKT]: htce
[2021:05:03-00:06:15]  (Local) -> (LOCAL)[3]FLOREZ_[CDG]: A
[2021:05:03-00:06:15]  (Local) -> (LOCAL)[2]Avalencia: sientese
[2021:05:03-00:06:16]  (Local) -> (LOCAL)[1]rolo: oe
[2021:05:03-00:06:17]  (Global) -> Mr_KR_[AKT]: htcr
[2021:05:03-00:06:18]  (Local) -> (LOCAL)[5]FLOREZ_[CDG]: Buena xd
[2021:05:03-00:06:19]  (Local) -> (LOCAL)[5]FLOREZ_[CDG]: asi
[2021:05:03-00:06:21]  (Local) -> (LOCAL)[2]Avalencia: y se queda sentado 5 segundos
[2021:05:03-00:06:23]  (Local) -> (LOCAL)[4]TiroVisco.: oe Sebas_guaracho[CDG]
[2021:05:03-00:06:23]  (Team - Unemployed) -> (TEAM)Juan_Ramirez: /joinevent
[2021:05:03-00:06:24]  (Global) -> Valak!|#5EF5F7������: vendo pcj-600 barata
[2021:05:03-00:06:25]  (Local) -> (LOCAL)[2]Avalencia: lleve esa cuenta en mente xD
[2021:05:03-00:06:25]  (Local) -> (LOCAL)[4]Yesid_[CDG]: melo
[2021:05:03-00:06:27]  (Local) -> (LOCAL)[4]TiroVisco.: este a cuanto?
[2021:05:03-00:06:28]  (Local) -> (LOCAL)[3]Tabares[Z]: jajaj
[2021:05:03-00:06:30]  (Global) -> Peyeta'2cb|#E20280 ඞ: el HTR 1?
[2021:05:03-00:06:30]  (Local) -> (LOCAL)[2]rolo: cual compraria el uranus
[2021:05:03-00:06:31]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: thomasssj te veo bien en el bus
[2021:05:03-00:06:32]  (Global) -> Juanma'ELN'|#5EF5F7������: #ff00ff vendo monster 2 y bashee
[2021:05:03-00:06:32]  (Local) -> (LOCAL)[3]FLOREZ_[CDG]: vamos al job criminal
[2021:05:03-00:06:34]  (Local) -> (LOCAL)[6]judas[Z]: qn sos
[2021:05:03-00:06:36]  (Local) -> (LOCAL)[3]Yesid_[CDG]: dale
[2021:05:03-00:06:36]  (Local) -> (LOCAL)[2]rolo: o el maserrati
[2021:05:03-00:06:36]  (Local) -> (LOCAL)[6]~PlItT$$$'2cB: soy malo
[2021:05:03-00:06:37]  (Global) -> JuliethVasquez: vean el carro de mi novio
[2021:05:03-00:06:39]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: pa que le den plata a usted
[2021:05:03-00:06:39]  (Local) -> (LOCAL)[6]~PlItT$$$'2cB: loca
[2021:05:03-00:06:39]  (Local) -> (LOCAL)[6]judas[Z]: a perdon
[2021:05:03-00:06:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: a
[2021:05:03-00:06:42]  (Local) -> (LOCAL)[1]Topo|Z|: Le doy un helicoprto
[2021:05:03-00:06:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: montese
[2021:05:03-00:06:45]  (Local) -> (LOCAL)[3]TiroVisco.: este a cuanto?
[2021:05:03-00:06:46]  (Local) -> (LOCAL)[2]Avalencia: Oe ya sabe
[2021:05:03-00:06:48]  (Local) -> (LOCAL)[2]Avalencia: Se sienta
[2021:05:03-00:06:51]  (Local) -> (LOCAL)[1]RaspyPail58: todo bien pa
[2021:05:03-00:06:52]  (Local) -> (LOCAL)[2]Avalencia: contabilize 5 segudnos
[2021:05:03-00:06:53]  (Global) -> Mr_KR_[AKT]: sisa
[2021:05:03-00:06:54]  (Local) -> (LOCAL)[2]Avalencia: se para
[2021:05:03-00:06:54]  (Global) -> samuel126[CDG]: quien  me compra mi carro
[2021:05:03-00:06:55]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: y a miq ue
[2021:05:03-00:06:56]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:06:56]  (Local) -> (LOCAL)[1]PeterJ: tengo un camaro con los mods
[2021:05:03-00:06:57]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: 800k
[2021:05:03-00:06:57]  (Local) -> (LOCAL)[2]Avalencia: habla
[2021:05:03-00:06:58]  (Global) -> SordidIntestines27: holña
[2021:05:03-00:06:59]  (Local) -> (LOCAL)[2]Roco: otros 5
[2021:05:03-00:07:00]  (Local) -> (LOCAL)[3]MONDA'2cb: sebas y yo vendemos INDERNUS
[2021:05:03-00:07:02]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: ia no mas =
[2021:05:03-00:07:03]  (Global) -> Peyeta'2cb|#E20280 ඞ: 9 palos Mr_KR_[AKT]
[2021:05:03-00:07:04]  (Local) -> (LOCAL)[2]Roco: luego lo de fuck u
[2021:05:03-00:07:06]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: ??
[2021:05:03-00:07:06]  (Local) -> (LOCAL)[1]Topo|Z|: Vuele alto
[2021:05:03-00:07:07]  (Global) -> SrJulin: ola
[2021:05:03-00:07:07]  (Local) -> (LOCAL)[2]Roco: y tira puño
[2021:05:03-00:07:08]  (Global) -> Mr_KR_[AKT]: donde esta
[2021:05:03-00:07:08]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: malparido
[2021:05:03-00:07:09]  (Local) -> (LOCAL)[2]Avalencia: la de fuck u y un puño
[2021:05:03-00:07:09]  (Local) -> (LOCAL)[2]Roco: bre
[2021:05:03-00:07:10]  (Local) -> (LOCAL)[4]Yesid_[CDG]: o
[2021:05:03-00:07:12]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: tiene suspension y neon
[2021:05:03-00:07:14]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: tengo que matarlo
[2021:05:03-00:07:15]  (Local) -> (LOCAL)[1]rolo: entonces el masserati
[2021:05:03-00:07:17]  (Global) -> PRO: cuanto ultima
[2021:05:03-00:07:17]  (Local) -> (LOCAL)[4]MONDA'2cb: oe
[2021:05:03-00:07:17]  (Global) -> SordidIntestines27: necesito trabojo
[2021:05:03-00:07:19]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: PERE
[2021:05:03-00:07:20]  (Local) -> (LOCAL)[2]Avalencia: o no mejor la del puño
[2021:05:03-00:07:20]  (Local) -> (LOCAL)[1]PeterJ: vamos a san fierro
[2021:05:03-00:07:21]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: que
[2021:05:03-00:07:21]  (Local) -> (LOCAL)[2]CALDERON|AUC|: ez
[2021:05:03-00:07:24]  (Local) -> (LOCAL)[2]Avalencia: despeus de fuck u
[2021:05:03-00:07:25]  (Local) -> (LOCAL)[4]MONDA'2cb: llegue
[2021:05:03-00:07:25]  (Local) -> (LOCAL)[1]rolo: dele
[2021:05:03-00:07:27]  (Local) -> (LOCAL)[2]Avalencia: camine asi aca
[2021:05:03-00:07:28]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: yo vi un uranus
[2021:05:03-00:07:29]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00alexispagedj-CDG|#9800D1GDT!: a sisas
[2021:05:03-00:07:29]  (Local) -> (LOCAL)[1]PeterJ: es mas tranquilo alla
[2021:05:03-00:07:30]  (Local) -> (LOCAL)[8]Azrael: sal bro
[2021:05:03-00:07:30]  (Global) -> Peyeta'2cb|#E20280 ඞ: llegue al aeropuerto de los santos Mr_KR_[AKT]
[2021:05:03-00:07:31]  (Local) -> (LOCAL)[1]Yesid_[CDG]: oe
[2021:05:03-00:07:33]  (Global) -> san: doscoronas bobo necesitado
[2021:05:03-00:07:33]  (Global) -> SordidIntestines27: montece
[2021:05:03-00:07:34]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: a
[2021:05:03-00:07:35]  (Local) -> (LOCAL)[2]Avalencia: eso
[2021:05:03-00:07:35]  (Global) -> Mr_KR_[AKT]: ale
[2021:05:03-00:07:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ok ahora hagamos la simulación que me vas a arrestar
[2021:05:03-00:07:37]  (Global) -> dani_ball: como se reparan los aviones
[2021:05:03-00:07:37]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: oe
[2021:05:03-00:07:39]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: ese no c vende ?
[2021:05:03-00:07:39]  (Local) -> (LOCAL)[1]rolo: hay mas carros
[2021:05:03-00:07:43]  (Local) -> (LOCAL)[1]PeterJ: espera cvamos volandpo
[2021:05:03-00:07:43]  (Local) -> (LOCAL)[8]VirtuoXS[EVG]: catre un besito
[2021:05:03-00:07:43]  (Local) -> (LOCAL)[1]rolo: ?
[2021:05:03-00:07:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Francine98: dame tu dinero
[2021:05:03-00:07:46]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF0000Catre^: owo
[2021:05:03-00:07:47]  (Global) -> #7F7F7F|ADM||DJ|#FF8C00alexispagedj-CDG|#9800D1GDT!: algun tombo care lo mio me arresta por favor
[2021:05:03-00:07:48]  (Global) -> Klk.SEMEN|#012F7AＫＰ→延: xd
[2021:05:03-00:07:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: espere
[2021:05:03-00:07:52]  (Local) -> (LOCAL)[4]MONDA'2cb: subase
[2021:05:03-00:07:53]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: curese
[2021:05:03-00:07:54]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: se venden estos que ven
[2021:05:03-00:07:57]  (Local) -> (LOCAL)[2]Avalencia: listo?
[2021:05:03-00:07:58]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO Y UN BOBCAT LOS TRES POR 1.1 M
[2021:05:03-00:07:59]  (Local) -> (LOCAL)[2]Avalencia: sientese
[2021:05:03-00:08:03]  (Local) -> (LOCAL)[1]PeterJ: sube
[2021:05:03-00:08:04]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: presione los health pack a la vez
[2021:05:03-00:08:07]  (Global) -> Klk.SEMEN|#012F7AＫＰ→延:   ✖‿✖ 
[2021:05:03-00:08:07]  (Global) -> SrJulin: aqui hay uno
[2021:05:03-00:08:11]  (Local) -> (LOCAL)[2]rolo: ufff
[2021:05:03-00:08:13]  (Global) -> Tochielaragan|AUC:  Dilan'CDG[MP] veo
[2021:05:03-00:08:13]  (Global) -> SordidIntestines27: de que
[2021:05:03-00:08:15]  (Local) -> (LOCAL)[4]MONDA'2cb: oe si vendemos este
[2021:05:03-00:08:15]  ([Msg] de CALDERON|AUC| para aspiriina||EVG||: bamos pues a volear sople) -> nil
[2021:05:03-00:08:15]  (Local) -> (LOCAL)[2]Avalencia: pere
[2021:05:03-00:08:17]  (Global) -> Topo|Z|: Ay Ivan_Duque_AUC[2]
[2021:05:03-00:08:18]  (Global) -> Klk.SEMEN|#012F7AＫＰ→延:   ✖‿✖ 
[2021:05:03-00:08:18]  (Local) -> (LOCAL)[2]Avalencia: yo tiro el cd
[2021:05:03-00:08:19]  (Local) -> (LOCAL)[2]Roco: a
[2021:05:03-00:08:19]  (Global) -> SrJulin: mecanico
[2021:05:03-00:08:21]  (Local) -> (LOCAL)[2]Roco: bre
[2021:05:03-00:08:21]  (Global) -> Topo|Z|: Me le subi al rancho
[2021:05:03-00:08:22]  (Local) -> (LOCAL)[1]rolo: que chimba
[2021:05:03-00:08:23]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: no me deja montarme :c
[2021:05:03-00:08:23]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: Tochielaragan|AUC Donde le caigo
[2021:05:03-00:08:24]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ud vera nose jaja
[2021:05:03-00:08:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: dame tu dinero
[2021:05:03-00:08:25]  (Local) -> (LOCAL)[1]Tabares[Z]: quehpta lag
[2021:05:03-00:08:27]  (Global) -> PRO: cuales son los carros que vendes
[2021:05:03-00:08:29]  (Local) -> (LOCAL)[4]MONDA'2cb: jJAJJA
[2021:05:03-00:08:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: vez que mi nombre no tiene un número?
[2021:05:03-00:08:31]  (Global) -> Tochielaragan|AUC:  hospital central
[2021:05:03-00:08:33]  (Local) -> (LOCAL)[6]judas[Z]: no juanda
[2021:05:03-00:08:35]  (Local) -> (LOCAL)[3]Julio_Motoa|4K|: xd
[2021:05:03-00:08:35]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: ya
[2021:05:03-00:08:36]  (Global) -> SordidIntestines27: como lo areglo
[2021:05:03-00:08:36]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: a
[2021:05:03-00:08:38]  (Global) -> Tochielaragan|AUC:  voy
[2021:05:03-00:08:38]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: ya
[2021:05:03-00:08:38]  (Local) -> (LOCAL)[2]Peyeta'2cb: el turismo el oceanic y este
[2021:05:03-00:08:41]  (Local) -> (LOCAL)[6]Klk.SEMEN: xd
[2021:05:03-00:08:42]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: si, no tiene nada
[2021:05:03-00:08:47]  (Local) -> (LOCAL)[3]Topo|Z|: Le falta la z
[2021:05:03-00:08:47]  (Global) -> PRO: acuanto ese
[2021:05:03-00:08:48]  (Global) -> Klk.SEMEN|#012F7AＫＰ→延:  ͡ಥ ͜ʖ ͡ಥ)
[2021:05:03-00:08:49]  (Global) -> ArleyMateusL: como puedo bailar?
[2021:05:03-00:08:50]  (Local) -> (LOCAL)[2]Avalencia: aaa
[2021:05:03-00:08:53]  (Local) -> (LOCAL)[2]Mr_KR_[AKT]: ese es?
[2021:05:03-00:08:54]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: el gris y el negro a 800k
[2021:05:03-00:08:54]  (Local) -> (LOCAL)[2]Avalencia: pere denuevo
[2021:05:03-00:08:55]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: ArquezCriss[2] todo en K
[2021:05:03-00:08:58]  (Local) -> (LOCAL)[2]Avalencia: pense que no habia salido el cd
[2021:05:03-00:08:58]  (Local) -> (LOCAL)[2]Peyeta'2cb: sisas 9 palos
[2021:05:03-00:08:58]  (Local) -> (LOCAL)[4]Kyle.2cb: tussy
[2021:05:03-00:08:59]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:00]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:01]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:02]  (Local) -> (LOCAL)[4]Azrael: ajjaa
[2021:05:03-00:09:02]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: ArleyMateusL en la K
[2021:05:03-00:09:02]  (Local) -> (LOCAL)[5]#7F7F7F|LG|#FF0000tussy'2cb: ae
[2021:05:03-00:09:02]  (Local) -> (LOCAL)[1]FriendlyDonkey99: que mas hace aca uno parce.. perder el tiempo
[2021:05:03-00:09:03]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:03]  (Local) -> (LOCAL)[5]Kyle.2cb: me sale?
[2021:05:03-00:09:03]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: vamospor la droga
[2021:05:03-00:09:04]  (Global) -> SrJulin: La letra M y dale click al carro
[2021:05:03-00:09:04]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:05]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:06]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaa
[2021:05:03-00:09:07]  (Local) -> (LOCAL)[2]Avalencia: se fue
[2021:05:03-00:09:07]  (Local) -> (LOCAL)[0]Buitre|Lag|2cB: aaaaaaaaaaaaaaau
[2021:05:03-00:09:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ya me arrestó
[2021:05:03-00:09:09]  (Local) -> (LOCAL)[6]#7F7F7F|LG|#FF0000tussy'2cb: ?
[2021:05:03-00:09:10]  (Local) -> (LOCAL)[2]Peyeta'2cb: con nitro
[2021:05:03-00:09:11]  (Local) -> (LOCAL)[6]judas[Z]: dln
[2021:05:03-00:09:11]  (Local) -> (LOCAL)[1]FriendlyDonkey99: digame sino
[2021:05:03-00:09:11]  (Local) -> (LOCAL)[0]jhonjairo: #00ff00 a
[2021:05:03-00:09:11]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: el blanco y la cioneta negra 900k
[2021:05:03-00:09:13]  (Team - Services) -> (TEAM)MONDA'2cb: VENDO NEBULA 700 CERRADOS!!!
[2021:05:03-00:09:14]  (Team - Criminals) -> (TEAM)judas[Z]: a me sale mejorsito
[2021:05:03-00:09:14]  (Global) -> ArleyMateusL: gracias
[2021:05:03-00:09:15]  (Local) -> (LOCAL)[1]Peyeta'2cb: melo melo
[2021:05:03-00:09:16]  (Local) -> (LOCAL)[1]Tabares[Z]: sizas
[2021:05:03-00:09:19]  (Global) -> SordidIntestines27: no da
[2021:05:03-00:09:19]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: y la verde 1 palo
[2021:05:03-00:09:22]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: ya?
[2021:05:03-00:09:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ya me puede llevar
[2021:05:03-00:09:24]  (Local) -> (LOCAL)[2]pyton'2cb: buenas
[2021:05:03-00:09:25]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: ey q
[2021:05:03-00:09:26]  (Local) -> (LOCAL)[2]FriendlyDonkey99: r
[2021:05:03-00:09:26]  (Local) -> (LOCAL)[7]Dilan'CDG: esos 3 millon 100k
[2021:05:03-00:09:26]  (Local) -> (LOCAL)[4]Azrael: jajja enseñale a respetar toppo
[2021:05:03-00:09:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: sí XD
[2021:05:03-00:09:28]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: ud cuando lelgo
[2021:05:03-00:09:29]  (Local) -> (LOCAL)[3]judas[Z]: mas rapido
[2021:05:03-00:09:29]  (Global) -> SrJulin: subete
[2021:05:03-00:09:29]  (Local) -> (LOCAL)[3]Julio_Motoa|4K|: no me deja montarme al uranus xd
[2021:05:03-00:09:30]  (Global) -> EagerCashier46: QUE QUIERE HPTA
[2021:05:03-00:09:30]  (Global) -> jhonjairo: 00#ff00 david mateo ruiz garcia
[2021:05:03-00:09:33]  (Local) -> (LOCAL)[4]CALDERON|AUC|: xd
[2021:05:03-00:09:33]  (Global) -> iguana_97: cayecese
[2021:05:03-00:09:34]  (Local) -> (LOCAL)[5]Azrael: jajaja
[2021:05:03-00:09:36]  (Global) -> SrJulin: dale
[2021:05:03-00:09:36]  (Local) -> (LOCAL)[5]Topo|Z|: No
[2021:05:03-00:09:37]  (Local) -> (LOCAL)[2]Avalencia: jajajaj melo melo
[2021:05:03-00:09:37]  (Local) -> (LOCAL)[4]pyton'2cb: si no q
[2021:05:03-00:09:38]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: así es como taisea
[2021:05:03-00:09:39]  (Local) -> (LOCAL)[6]Topo|Z|: Con el Cj
[2021:05:03-00:09:40]  (Global) -> EagerCashier46: ESTA USTED DETENIDO
[2021:05:03-00:09:40]  (Local) -> (LOCAL)[3]FLOREZ_[CDG]: Muchas macros en el server Yesid_[CDG][2]
[2021:05:03-00:09:41]  (Global) -> iguana_97: vas pa la guandoka 
[2021:05:03-00:09:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: arresta*
[2021:05:03-00:09:43]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: tiene que subirse al techo
[2021:05:03-00:09:44]  (Local) -> (LOCAL)[2]pyton'2cb: ta bien
[2021:05:03-00:09:46]  (Local) -> (LOCAL)[6]Topo|Z|: El Cj es con vip
[2021:05:03-00:09:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ahora ponga
