This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-00:09:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: el flaco siempre con las ayudas mas pros
[2021:03:24-00:09:05]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: mano anfate
[2021:03:24-00:09:06]  (Global) -> brandonjose: OCONNER FALSO PERRO TREINTA HPTA
[2021:03:24-00:09:09]  (Global) -> XxBastianoxX: no es el taser?
[2021:03:24-00:09:12]  (Local) -> (LOCAL)[8]Cibu|CApu: si
[2021:03:24-00:09:17]  (Local) -> (LOCAL)[3]Chacarron|ELN: hola castaÃ±eda
[2021:03:24-00:09:18]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb|#1914D7í ½í¸ˆ: jajaja por q 
[2021:03:24-00:09:18]  (Local) -> (LOCAL)[8]Kapu|m4|: ajajajjaj que paso tuviste que cuarte con el vip no aguantaste duende
[2021:03:24-00:09:18]  (Local) -> (LOCAL)[8]Cibu|CApu: ven
[2021:03:24-00:09:22]  (Local) -> (LOCAL)[6]malo'2cb: a
[2021:03:24-00:09:23]  ([Msg] de sem para S#000000ffOquez6969.: hagamos el amor) -> nil
[2021:03:24-00:09:25]  (Local) -> (LOCAL)[4]Oreo: jm
[2021:03:24-00:09:25]  (Local) -> (LOCAL)[4]malo'2cb: perdon
[2021:03:24-00:09:31]  (Local) -> (LOCAL)[5]malo'2cb: meperdonas?
[2021:03:24-00:09:31]  (Local) -> (LOCAL)[6]Cibu|CApu: sube
[2021:03:24-00:09:33]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": OE
[2021:03:24-00:09:33]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: jajaja ese hpta de brandon todo el dia me ha dicho dizq falso y no he podido saber por que
[2021:03:24-00:09:33]  (Global) -> Machete_Loco: pana
[2021:03:24-00:09:34]  (Local) -> (LOCAL)[5]Oreo: perdono pero no olvido
[2021:03:24-00:09:35]  (Global) -> XxBastianoxX: ok
[2021:03:24-00:09:36]  (Global) -> brandonjose: NO ME RECOGIO Y ME DEJO TIRADO EN EL BANCO
[2021:03:24-00:09:41]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: ??
[2021:03:24-00:09:45]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb|#1914D7í ½í¸ˆ: jjajajaajaja
[2021:03:24-00:09:46]  (Local) -> (LOCAL)[1]Flaco'2cb: jajaja
[2021:03:24-00:09:46]  ([Msg] de S#000000ffOquez6969. para sem: sin condon) -> nil
[2021:03:24-00:09:52]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": USTED ES EL DE EL DESORDEN
[2021:03:24-00:09:53]  (Global) -> Liltoposax: con que activo los mods
[2021:03:24-00:09:55]  (Local) -> (LOCAL)[3]malo'2cb: aok
[2021:03:24-00:09:55]  (Local) -> (LOCAL)[3]ElDuende: AAA
[2021:03:24-00:09:57]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": DLE SET UP
[2021:03:24-00:09:57]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: cuanto corre
[2021:03:24-00:09:58]  ([Msg] de sem para S#000000ffOquez6969.: eso ba) -> nil
[2021:03:24-00:10:00]  (Global) -> SEVEN||2cb||: con 
[2021:03:24-00:10:04]  (Global) -> #0F7D64Ghost|#0F7D64ï¼«ï¼°â†’å»¶:  /mods
[2021:03:24-00:10:07]  (Global) -> SEVEN||2cb||: -
[2021:03:24-00:10:13]  (Local) -> (LOCAL)[1]JuanEs: oe
[2021:03:24-00:10:18]  (Local) -> (LOCAL)[4]malo'2cb: a
[2021:03:24-00:10:20]  (Local) -> (LOCAL)[1]Cibu|CApu: tazeame
[2021:03:24-00:10:22]  (Local) -> (LOCAL)[4]Soltec|EVG|: ai
[2021:03:24-00:10:26]  (Global) -> XxBastianoxX: ok
[2021:03:24-00:10:29]  (Local) -> (LOCAL)[1]Kapu|m4|: wey
[2021:03:24-00:10:30]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: vamos a pikear
[2021:03:24-00:10:31]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: oe se ve chimbita la riÃ±onerita y la gorrita en este trajesito o q jajajaja
[2021:03:24-00:10:36]  (Local) -> (LOCAL)[1]Kapu|m4|: cuanto por este carito
[2021:03:24-00:10:37]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: si ves q es el trajesito de oconner el de la pelicula
[2021:03:24-00:10:39]  (Global) -> XxBastianoxX: a ya
[2021:03:24-00:10:39]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: tiene carro
[2021:03:24-00:10:40]  (Local) -> (LOCAL)[2]Machete_Loco: voy por un pana
[2021:03:24-00:10:41]  (Global) -> brandonjose: CONNER ME VA A RECOGER O QUE LOCA?
[2021:03:24-00:10:42]  (Local) -> (LOCAL)[1]Kapu|m4|: hey
[2021:03:24-00:10:43]  (Local) -> (LOCAL)[1]Arison45[EVG]: nada
[2021:03:24-00:10:43]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Ivan_Duque(2cb):  jajaja
[2021:03:24-00:10:43]  (Local) -> (LOCAL)[2]Machete_Loco: ya vengo
[2021:03:24-00:10:45]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: vamos pues
[2021:03:24-00:10:46]  (Local) -> (LOCAL)[1]Kapu|m4|: d
[2021:03:24-00:10:46]  (Local) -> (LOCAL)[1]Cibu|CApu: cuando este en el piso pegame con el bolillo
[2021:03:24-00:10:48]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: oeoeeo
[2021:03:24-00:10:48]  (Local) -> (LOCAL)[2]Machete_Loco: nokas
[2021:03:24-00:10:48]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: es nuevo_?
[2021:03:24-00:10:50]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: carrera
[2021:03:24-00:10:52]  (Local) -> (LOCAL)[2]Peyeta[2cb]: oe
[2021:03:24-00:10:53]  (Global) -> XxBastianoxX: ok dale
[2021:03:24-00:10:56]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Ivan_Duque(2cb):  lÃ±o mataronm por loka  jaja
[2021:03:24-00:10:58]  (Local) -> (LOCAL)[1]Machete_Loco: sisa
[2021:03:24-00:10:58]  (Local) -> (LOCAL)[2]Niche~CaPu: uuuu
[2021:03:24-00:11:01]  (Local) -> (LOCAL)[2]Niche~CaPu: con mods se ve epico
[2021:03:24-00:11:01]  (Local) -> (LOCAL)[1]Flaco'2cb: szs
[2021:03:24-00:11:03]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: presio del veikulo
[2021:03:24-00:11:03]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: apenas aparecio
[2021:03:24-00:11:07]  (Local) -> (LOCAL)[1]Flaco'2cb: Tas grabando ?
[2021:03:24-00:11:12]  (Local) -> (LOCAL)[2]Soltec|EVG|: lo cojieron por loca jaja
[2021:03:24-00:11:15]  (Local) -> (LOCAL)[1]Cibu|CApu: ya estoy arrestado
[2021:03:24-00:11:16]  (Global) -> Oreo|#E20280 à¶ž: no ermano pero pq corre egh
[2021:03:24-00:11:17]  (Global) -> XxBastianoxX: y ahora
[2021:03:24-00:11:21]  (Local) -> (LOCAL)[1]Flaco'2cb: go por otras
[2021:03:24-00:11:23]  (Local) -> (LOCAL)[2]malo'2cb: XDDDDDDDDDDDDDDDD
[2021:03:24-00:11:24]  (Local) -> (LOCAL)[1]Cibu|CApu: me podrias llevar a la comisaria
[2021:03:24-00:11:25]  (Global) -> XxBastianoxX: como te suelto
[2021:03:24-00:11:26]  (Local) -> (LOCAL)[2]malo'2cb: AJAJAJA
[2021:03:24-00:11:28]  (Global) -> XxBastianoxX: a ok
[2021:03:24-00:11:29]  (Local) -> (LOCAL)[1]Cibu|CApu: pero no lo haras jajaja
[2021:03:24-00:11:30]  (Local) -> (LOCAL)[6]URIBE_HP(ZETAS): bala
[2021:03:24-00:11:30]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: no aun no pero cuando quiera grabamos algo bien chimba de drift o algo
[2021:03:24-00:11:31]  (Local) -> (LOCAL)[2]Peyeta[2cb]: aaaaaaaaaaaaa
[2021:03:24-00:11:32]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: corra
[2021:03:24-00:11:34]  (Global) -> SffOquez6969.|#E20280 à¶ž: brother 0 toxicidad
[2021:03:24-00:11:34]  (Local) -> (LOCAL)[1]brayan: todo bien
[2021:03:24-00:11:35]  (Local) -> (LOCAL)[1]Cibu|CApu: por que te estoy enseÃ±ando
[2021:03:24-00:11:35]  (Local) -> (LOCAL)[6]URIBE_HP(ZETAS): activeme el vip
[2021:03:24-00:11:40]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Ivan_Duque(2cb):  ahora vamos y lo matamos 
[2021:03:24-00:11:41]  (Local) -> (LOCAL)[2]Niche~CaPu: no q casi 200 XD?
[2021:03:24-00:11:43]  (Local) -> (LOCAL)[2]Niche~CaPu: corre 120
[2021:03:24-00:11:44]  (Local) -> (LOCAL)[1]Flaco'2cb: Bno si ud desea
[2021:03:24-00:11:44]  (Global) -> XxBastianoxX: obvio no xd
[2021:03:24-00:11:45]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: lo van a pelar
[2021:03:24-00:11:46]  (Local) -> (LOCAL)[2]malo'2cb: aok
[2021:03:24-00:11:47]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: deje probalrlo
[2021:03:24-00:11:53]  (Local) -> (LOCAL)[2]Cibu|CApu: para soltauquiero
[2021:03:24-00:11:58]  (Local) -> (LOCAL)[2]Kapu|m4|: como es
[2021:03:24-00:11:58]  (Local) -> (LOCAL)[2]Peyeta[2cb]: sera 120mph
[2021:03:24-00:12:00]  (Local) -> (LOCAL)[2]Cibu|CApu: quito men porfaa
[2021:03:24-00:12:03]  (Local) -> (LOCAL)[2]Kapu|m4|: quiero aprender
[2021:03:24-00:12:07]  (Local) -> (LOCAL)[1]Peyeta[2cb]: pero corre casi 200kmh
[2021:03:24-00:12:08]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: perate
[2021:03:24-00:12:09]  (Global) -> XxBastianoxX: ok espera.
[2021:03:24-00:12:11]  (Global) -> brandonjose: CONNER FALSO RE CONTRA HIJUEPERRA
[2021:03:24-00:12:13]  (Local) -> (LOCAL)[2]Kapu|m4|: yme das clases
[2021:03:24-00:12:14]  (Local) -> (LOCAL)[1]Peyeta[2cb]: ademas tiene nitro
[2021:03:24-00:12:16]  (Local) -> (LOCAL)[1]Machete_Loco: pere esta en la comisaria
[2021:03:24-00:12:19]  (Local) -> (LOCAL)[2]malo'2cb: aputa
[2021:03:24-00:12:24]  (Local) -> (LOCAL)[2]Kapu|m4|: aja
[2021:03:24-00:12:27]  (Local) -> (LOCAL)[4]Hoka!#|CaPu: Vendo perico
[2021:03:24-00:12:30]  (Local) -> (LOCAL)[2]malo'2cb: dispara y se agacha pero rere fast
[2021:03:24-00:12:32]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb|#1914D7í ½í¸ˆ: ajajajaja
[2021:03:24-00:12:35]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: ale
[2021:03:24-00:12:37]  (Local) -> (LOCAL)[1]Cibu|CApu: no me metas alla
[2021:03:24-00:12:38]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: mano me abro
[2021:03:24-00:12:41]  (Local) -> (LOCAL)[3]malo'2cb: y lo va repitiendo
[2021:03:24-00:12:42]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: en la buena
[2021:03:24-00:12:44]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: ta vueno
[2021:03:24-00:12:46]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Equisods
[2021:03:24-00:12:47]  (Local) -> (LOCAL)[2]Niche~CaPu: na
[2021:03:24-00:12:50]  (Local) -> (LOCAL)[1]Cibu|CApu: sueltame con /release y mi nombre
[2021:03:24-00:12:51]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Veo a pablo negro
[2021:03:24-00:12:51]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: pero no tengo plata
[2021:03:24-00:12:52]  (Team - Law Enforcement) -> (TEAM)XxBastianoxX:  como te suelto
[2021:03:24-00:12:52]  (Local) -> (LOCAL)[2]Niche~CaPu: no corre como pense
[2021:03:24-00:12:53]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: jjjj
[2021:03:24-00:12:56]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Equisdos
[2021:03:24-00:13:00]  (Local) -> (LOCAL)[5]PabloOwO~|PEPEGAN|: a
[2021:03:24-00:13:02]  (Local) -> (LOCAL)[2]Peyeta[2cb]: bno
[2021:03:24-00:13:03]  (Local) -> (LOCAL)[1]Kapu|m4|: donde tienes agacharse
[2021:03:24-00:13:05]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: grasias por l oferta
[2021:03:24-00:13:07]  (Local) -> (LOCAL)[1]Niche~CaPu: garcias por la oferta
[2021:03:24-00:13:09]  (Local) -> (LOCAL)[1]Im_Dark~|MZ|: besos en el ano
[2021:03:24-00:13:15]  (Global) -> XxBastianoxX: yo soy correcto bro
[2021:03:24-00:13:20]  (Local) -> (LOCAL)[1]Cibu|CApu: obvio a los que arrestes no los vas a soltar
[2021:03:24-00:13:23]  (Global) -> brandonjose: PERRO CONNER QUE SIGNIFICA ESA MIERDA DE PROD EN SU NOMBRE?
[2021:03:24-00:13:35]  (Local) -> (LOCAL)[1]Cibu|CApu: cuando arrestes a alguein vienes aqui
[2021:03:24-00:13:35]  (Global) -> XxBastianoxX: a xd
[2021:03:24-00:13:50]  (Global) -> Niche~CaPu: oe Peyeta[2cb][MP]
[2021:03:24-00:13:55]  (Global) -> Peyeta[2cb]: oe
[2021:03:24-00:13:56]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Pajas
[2021:03:24-00:14:00]  (Global) -> Niche~CaPu: usted le puede poner nitro a los autos?
[2021:03:24-00:14:01]  (Local) -> (LOCAL)[2]Flaco'2cb: pero no se salga xD
[2021:03:24-00:14:01]  (Global) -> XxBastianoxX: a ok
[2021:03:24-00:14:03]  (Local) -> (LOCAL)[3]Cibu|CApu: te saltra un cisculo azul, vas hay y el que arrestaste ira a la carcel
[2021:03:24-00:14:06]  (Global) -> Peyeta[2cb]: nokas
[2021:03:24-00:14:11]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Sem se esta haciendo la paja
[2021:03:24-00:14:12]  (Local) -> (LOCAL)[0]KiraOwO~Capu: a
[2021:03:24-00:14:13]  (Local) -> (LOCAL)[1]malo'2cb: a
[2021:03:24-00:14:15]  (Global) -> jhonjairo: QUE PASA VALECITA
[2021:03:24-00:14:18]  (Local) -> (LOCAL)[3]XxBastianoxX: waw
[2021:03:24-00:14:19]  (Global) -> Peyeta[2cb]: ademas creo que es ilegal
[2021:03:24-00:14:21]  (Global) -> SantiPajas|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: sem
[2021:03:24-00:14:25]  (Global) -> Hoka!#|CaPu|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: sem
[2021:03:24-00:14:32]  (Local) -> (LOCAL)[4]Cibu|CApu: aqui donde estoy aldra el circulo
[2021:03:24-00:14:32]  (Global) -> XxBastianoxX: oye bro
[2021:03:24-00:14:37]  (Global) -> Peyeta[2cb]: Niche o le vendo un blista
[2021:03:24-00:14:37]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: chimba de carro este uff
[2021:03:24-00:14:41]  (Team - Criminals) -> (TEAM)URIBE_HP(ZETAS): Oconner'2cb CAIGA AL AEREOPUERTO UN MOMENTO
[2021:03:24-00:14:42]  (Local) -> (LOCAL)[4]Cibu|CApu: dime
[2021:03:24-00:14:43]  (Local) -> (LOCAL)[2]Niche~CaPu: haber
[2021:03:24-00:14:44]  (Local) -> (LOCAL)[6]RHEA999: hola
[2021:03:24-00:14:46]  (Local) -> (LOCAL)[1]Flaco'2cb: aa
[2021:03:24-00:14:51]  (Local) -> (LOCAL)[1]Flaco'2cb: toco esta xD
[2021:03:24-00:14:53]  (Local) -> (LOCAL)[6]XxBastianoxX: como puedo ver mis arrestos que e echo?
[2021:03:24-00:14:59]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: ojo
[2021:03:24-00:14:59]  (Local) -> (LOCAL)[1]Flaco'2cb: mk ese carro es otro rare
[2021:03:24-00:15:00]  (Local) -> (LOCAL)[5]Cibu|CApu: con f5
[2021:03:24-00:15:02]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: presio
[2021:03:24-00:15:03]  (Local) -> (LOCAL)[1]Flaco'2cb: la moto esa tambien es
[2021:03:24-00:15:05]  (Global) -> URIBE_HP(ZETAS): Oconner'2cb LLEGA AL AEREOPUERT
[2021:03:24-00:15:10]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: oe tengo 8 millonsitos con eso compro algo bueno?
[2021:03:24-00:15:14]  (Global) -> brandonjose: TENGO A UN NICHE OFRECIENDOME BON ICE
[2021:03:24-00:15:16]  (Global) -> Oreo|#E20280 à¶ž: a}
[2021:03:24-00:15:17]  (Local) -> (LOCAL)[2]Liltoposax: bobo hp
[2021:03:24-00:15:18]  (Local) -> (LOCAL)[5]Hoka!#|CaPu: Caqueta moment
[2021:03:24-00:15:19]  (Local) -> (LOCAL)[1]Flaco'2cb: esta moto la tienen como 5 a 10
[2021:03:24-00:15:19]  (Local) -> (LOCAL)[2]Liltoposax: bobo hpt4
[2021:03:24-00:15:20]  (Local) -> (LOCAL)[4]XxBastianoxX: a solo 2 llevo
[2021:03:24-00:15:21]  (Global) -> SEVEN||2cb||: VENDO OCEANIC Y SANDKING!!
[2021:03:24-00:15:27]  (Local) -> (LOCAL)[2]Peyeta[2cb]: espere que no se cuanto vale de concesionario xddd
[2021:03:24-00:15:29]  (Local) -> (LOCAL)[1]Flaco'2cb: Claro le recomiendo el bullet
[2021:03:24-00:15:30]  (Local) -> (LOCAL)[4]Cibu|CApu: exacto
[2021:03:24-00:15:32]  (Local) -> (LOCAL)[1]Flaco'2cb: o ud quiera
[2021:03:24-00:15:33]  (Local) -> (LOCAL)[2]Niche~CaPu: x2
[2021:03:24-00:15:35]  (Global) -> snyder_david: a 5 mil pesos el bonice
[2021:03:24-00:15:36]  (Local) -> (LOCAL)[2]Peyeta[2cb]: si quiere vamos veo y le digo
[2021:03:24-00:15:39]  (Local) -> (LOCAL)[4]Hoka!#|CaPu: Mano, es malo que yo sea del caqueta?
[2021:03:24-00:15:40]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: ut tiene uno yo veo como es el bullet?
[2021:03:24-00:15:41]  (Global) -> XxBastianoxX: otra pregunta
[2021:03:24-00:15:42]  (Local) -> (LOCAL)[1]Flaco'2cb: ese moto me costo 28 palos esta mlp
[2021:03:24-00:15:42]  (Global) -> brandonjose: COMPRO OCEANIC Y SANKING
[2021:03:24-00:15:44]  (Local) -> (LOCAL)[5]Cibu|CApu: alguna otra duda?
[2021:03:24-00:15:48]  (Local) -> (LOCAL)[6]Cibu|CApu: dime
[2021:03:24-00:15:53]  (Local) -> (LOCAL)[4]PabloOwO~|PEPEGAN|: q es caqueta?
[2021:03:24-00:16:02]  (Global) -> Gustabo_garcia: vendo dos millones en el juego por 2mil pesos
[2021:03:24-00:16:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: chimba de carro este?
[2021:03:24-00:16:05]  (Local) -> (LOCAL)[1]Peyeta[2cb]: este frena y gir mejor
[2021:03:24-00:16:07]  (Global) -> snyder_david: seven caiga se lo compramos
[2021:03:24-00:16:08]  (Local) -> (LOCAL)[1]Flaco'2cb: Este es el bullet
[2021:03:24-00:16:14]  (Local) -> (LOCAL)[4]PabloOwO~|PEPEGAN|: Juan es el propio que no entiende q eso no existe
[2021:03:24-00:16:14]  (Local) -> (LOCAL)[4]XxBastianoxX: como me pongo la palabra china que tienes enc tu nombre?
[2021:03:24-00:16:15]  (Local) -> (LOCAL)[2]Niche~CaPu: tiene derrape
[2021:03:24-00:16:16]  (Global) -> SEVEN||2cb||: breeeee
[2021:03:24-00:16:18]  (Local) -> (LOCAL)[1]Papo_Brr[RCA]: culazo
[2021:03:24-00:16:19]  (Local) -> (LOCAL)[4]PabloOwO~|PEPEGAN|: qn vive ahi
[2021:03:24-00:16:20]  (Global) -> brandonjose: ESTAMOS EN LA VUELTA DE PILOTOS EN SAN FIERRO
[2021:03:24-00:16:20]  (Local) -> (LOCAL)[1]Flaco'2cb: esta handleado con vip esmeralda pero corre la monda sin hand
[2021:03:24-00:16:20]  (Global) -> SEVEN||2cb||: a donde?
[2021:03:24-00:16:23]  (Local) -> (LOCAL)[4]Cibu|CApu: es un club de drift
[2021:03:24-00:16:26]  (Local) -> (LOCAL)[1]Peyeta[2cb]: szs
[2021:03:24-00:16:26]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: en la vida real es un ford GT de lo mas caro q hay
[2021:03:24-00:16:29]  (Local) -> (LOCAL)[1]Flaco'2cb: No lo deshanledo pq es mi carro de apuros
[2021:03:24-00:16:34]  (Global) -> El_mono345(MZ): quien me vende un carro vacilao por 500k
[2021:03:24-00:16:38]  (Local) -> (LOCAL)[2]Peyeta[2cb]: tambien tiene neon
[2021:03:24-00:16:39]  (Global) -> brandonjose: EN EL AEROPUERTO DE SAN FIERRO
[2021:03:24-00:16:40]  (Local) -> (LOCAL)[1]Flaco'2cb: Es como mi hr3 pero mejor
[2021:03:24-00:16:43]  (Global) -> XxBastianoxX: y donde queda eso?
[2021:03:24-00:16:44]  (Global) -> Im_Dark~|MZ|: vendo solair a 600.000k!
[2021:03:24-00:16:46]  (Local) -> (LOCAL)[2]Peyeta[2cb]: y full tunning
[2021:03:24-00:16:46]  (Local) -> (LOCAL)[1]Flaco'2cb: tiene mejor traccion
[2021:03:24-00:16:48]  (Local) -> (LOCAL)[2]Niche~CaPu: corre pero no tanto
[2021:03:24-00:16:52]  (Local) -> (LOCAL)[0]El_mono345(MZ): muestramelo
[2021:03:24-00:16:53]  (Global) -> brandonjose: COMRPO SOLAIR
[2021:03:24-00:16:53]  (Local) -> (LOCAL)[1]Flaco'2cb: yo le recomiendo este ud vera
[2021:03:24-00:16:54]  (Local) -> (LOCAL)[2]Niche~CaPu: lo que quiero es uno rapido
[2021:03:24-00:16:55]  (Local) -> (LOCAL)[2]Kapu|m4|: wey
[2021:03:24-00:16:55]  (Local) -> (LOCAL)[3]Cibu|CApu: solo los ue tienen clan pueden invitarte
[2021:03:24-00:16:59]  (Global) -> Im_Dark~|MZ|: vendo salair
[2021:03:24-00:17:00]  (Local) -> (LOCAL)[2]Peyeta[2cb]: jummm
[2021:03:24-00:17:01]  (Local) -> (LOCAL)[3]Cibu|CApu: es como una ganq
[2021:03:24-00:17:05]  (Global) -> Im_Dark~|MZ|: brandonjose donde lo veo?
[2021:03:24-00:17:07]  (Global) -> brandonjose: COMPRO SOLAIR
[2021:03:24-00:17:08]  (Local) -> (LOCAL)[5]Kapu|m4|: weu
[2021:03:24-00:17:10]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: que chimba mostra como se ve el nitro de este
[2021:03:24-00:17:11]  (Local) -> (LOCAL)[1]Niche~CaPu: tipo hasta ahora el que tengo corre 140
[2021:03:24-00:17:12]  (Local) -> (LOCAL)[0]El_mono345(MZ): hey parce
[2021:03:24-00:17:13]  (Global) -> XxBastianoxX: a ya entiendo listo bro no era nada mas
[2021:03:24-00:17:13]  (Global) -> brandonjose: EN EL AEROPUERTO DE SAN FIERRO
[2021:03:24-00:17:15]  (Local) -> (LOCAL)[4]elYZ: mk
[2021:03:24-00:17:16]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF0000JPablo|ELN|#5723FEGDT!: vendo kart
[2021:03:24-00:17:18]  (Local) -> (LOCAL)[1]Flaco'2cb: No le tengo
[2021:03:24-00:17:18]  (Local) -> (LOCAL)[4]Cibu|CApu: ok
[2021:03:24-00:17:19]  (Local) -> (LOCAL)[1]Niche~CaPu: mire este
[2021:03:24-00:17:21]  (Global) -> XxBastianoxX: quieres trabajar conmigo?
[2021:03:24-00:17:22]  (Global) -> SEVEN||2cb||: quien me va a comprar los carros?
[2021:03:24-00:17:22]  (Local) -> (LOCAL)[1]elYZ: sulteme
[2021:03:24-00:17:23]  (Local) -> (LOCAL)[1]Flaco'2cb: es mejor sin nitro bro
[2021:03:24-00:17:24]  (Local) -> (LOCAL)[0]El_mono345(MZ): llegue
[2021:03:24-00:17:24]  (Global) -> SEVEN||2cb||: ajajjajaj
[2021:03:24-00:17:24]  (Local) -> (LOCAL)[1]Peyeta[2cb]: pero millas no?
[2021:03:24-00:17:27]  (Local) -> (LOCAL)[1]Niche~CaPu: pruebele
[2021:03:24-00:17:27]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: por que?
[2021:03:24-00:17:30]  (Global) -> Flaco'2cb|#83FF00ÊÄ‘à¸—: JPablo|ELN cuanto pides
[2021:03:24-00:17:33]  (Local) -> (LOCAL)[0]El_mono345(MZ): pa ver el carro
[2021:03:24-00:17:35]  (Local) -> (LOCAL)[3]Cibu|CApu: no estoy trabajdno ahorita jajaja
[2021:03:24-00:17:35]  (Global) -> brandonjose: YOOO SEV EN
[2021:03:24-00:17:36]  (Local) -> (LOCAL)[4]elYZ: lo voya reportar
[2021:03:24-00:17:38]  (Local) -> (LOCAL)[1]Flaco'2cb: No se pa mi es mejor
[2021:03:24-00:17:39]  (Global) -> KiraOwO~Capu|#5723FEGDT!: precio del kart
[2021:03:24-00:17:40]  (Global) -> XxBastianoxX: jajaja
[2021:03:24-00:17:42]  (Global) -> brandonjose: ENTRE SNEYDER Y YO
[2021:03:24-00:17:42]  (Local) -> (LOCAL)[3]Oreo: ok
[2021:03:24-00:17:44]  (Local) -> (LOCAL)[1]Flaco'2cb: pero si ud quiere bno
[2021:03:24-00:17:48]  (Local) -> (LOCAL)[3]Cibu|CApu: estoy esperando a alguein de mi clan
[2021:03:24-00:17:49]  (Global) -> SEVEN||2cb||: breve
[2021:03:24-00:17:52]  (Global) -> SEVEN||2cb||: donde andan
[2021:03:24-00:17:54]  (Global) -> SEVEN||2cb||: pere
[2021:03:24-00:17:57]  (Local) -> (LOCAL)[1]Flaco'2cb: yo se lo coloco lo va a comprar ?
[2021:03:24-00:18:00]  (Global) -> XxBastianoxX: bueno bro trabajero solo
[2021:03:24-00:18:02]  (Global) -> brandonjose: Y IM DARK CAIGA TAMBIEN POR LA SOLAIR
[2021:03:24-00:18:02]  (Local) -> (LOCAL)[1]Flaco'2cb: vea
[2021:03:24-00:18:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: o sera mejor ahorrar mas pa otro ?
