This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-00:08:57]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: este no se com,o manejarlo
[2021:03:29-00:08:58]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: es raro
[2021:03:29-00:09:01]  (Local) -> (LOCAL)[2]GustavoEscobar: que pasa cheverry
[2021:03:29-00:09:02]  (Local) -> (LOCAL)[2]Murcielago'Z: es un muerto de hambre
[2021:03:29-00:09:03]  (Local) -> (LOCAL)[1]santi|YK|: para que no lo maten
[2021:03:29-00:09:03]  (Global) -> Drogba22: vendo fcr-900
[2021:03:29-00:09:04]  (Local) -> (LOCAL)[2]Antarsia: aer
[2021:03:29-00:09:04]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: el carro perro
[2021:03:29-00:09:08]  (Local) -> (LOCAL)[1]el_mono(YK): a ya
[2021:03:29-00:09:10]  (Global) -> Loco_Montes: vual cojo
[2021:03:29-00:09:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: perro drift
[2021:03:29-00:09:17]  (Global) -> ALIAS_CABO[2cb]:  pille esta
[2021:03:29-00:09:21]  (Global) -> GustavoEscobar|#FF8CE7✿: Gauss|ELN
[2021:03:29-00:09:23]  (Local) -> (LOCAL)[2]malo'2cb: sano
[2021:03:29-00:09:24]  (Local) -> (LOCAL)[2]Flaco'2cb: la cagaste
[2021:03:29-00:09:24]  (Local) -> (LOCAL)[2]malo'2cb: ahg
[2021:03:29-00:09:24]  (Local) -> (LOCAL)[3]GustavoEscobar: invite ah eln
[2021:03:29-00:09:27]  (Global) -> km9: cuanto ??
[2021:03:29-00:09:27]  (Local) -> (LOCAL)[2]malo'2cb: estos manes
[2021:03:29-00:09:29]  (Local) -> (LOCAL)[1]Buitre|sad|2cB: e
[2021:03:29-00:09:31]  (Local) -> (LOCAL)[2]Flaco'2cb: este man si es malo mk
[2021:03:29-00:09:34]  (Global) -> #FF8CE7Ash_Chirri|#FF8CE7✿: como me salgo de mi club de drift?
[2021:03:29-00:09:36]  (Global) -> naruto|AK47||#1914D7������: se le ofrece el uber privado
[2021:03:29-00:09:37]  (Global) -> Drogba22: km 1 palo 100
[2021:03:29-00:09:37]  (Local) -> (LOCAL)[1]Flaco'2cb: si viste cuanto se demoro en matarme
[2021:03:29-00:09:38]  (Local) -> (LOCAL)[1]malo'2cb: vamos rapido
[2021:03:29-00:09:39]  (Local) -> (LOCAL)[2]GustavoEscobar: invite ah eln
[2021:03:29-00:09:42]  (Local) -> (LOCAL)[0]Caceres|AUC: OE
[2021:03:29-00:09:44]  (Global) -> Caceres|AUC: OE
[2021:03:29-00:09:45]  (Local) -> (LOCAL)[1]malo'2cb: ghhh
[2021:03:29-00:09:50]  (Global) -> Caceres|AUC: LA PAZ
[2021:03:29-00:09:51]  (Global) -> Loco_Montes: cual
[2021:03:29-00:09:54]  (Global) -> km9: donde andas pa verla
[2021:03:29-00:09:56]  (Local) -> (LOCAL)[1]malo'2cb: banco
[2021:03:29-00:09:59]  (Local) -> (LOCAL)[1]malo'2cb: pal palo
[2021:03:29-00:10:03]  (Local) -> (LOCAL)[1]el_mono(YK): ey cuanto le costo este
[2021:03:29-00:10:04]  (Global) -> Drogba22: ando por el aereopuerto
[2021:03:29-00:10:04]  (Global) -> naruto|AK47||#1914D7������: uber
[2021:03:29-00:10:08]  (Global) -> Drogba22:  llego donde vos
[2021:03:29-00:10:09]  (Local) -> (LOCAL)[1]Antarsia: mm
[2021:03:29-00:10:12]  (Local) -> (LOCAL)[1]santi|YK|: viene con el vip
[2021:03:29-00:10:14]  (Local) -> (LOCAL)[1]Antarsia: le falta angulo
[2021:03:29-00:10:18]  (Global) -> km9: estacion de policia
[2021:03:29-00:10:20]  (Local) -> (LOCAL)[1]marinoperez(P): no gracias
[2021:03:29-00:10:22]  (Global) -> Drogba22: YA VOY
[2021:03:29-00:10:26]  (Global) -> naruto|AK47||#1914D7������: dale
[2021:03:29-00:10:26]  (Local) -> (LOCAL)[3]~>CoGoYo-|AUC|: si mejoro la uzi
[2021:03:29-00:10:30]  (Local) -> (LOCAL)[1]el_mono(YK): y cuanto cuesta el vip
[2021:03:29-00:10:30]  (Local) -> (LOCAL)[3]~>CoGoYo-|AUC|: se hace dual?
[2021:03:29-00:10:42]  (Local) -> (LOCAL)[3]Flaco'2cb: ya el palo
[2021:03:29-00:10:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: perro drift
[2021:03:29-00:10:43]  (Local) -> (LOCAL)[1]Antarsia: en realidad
[2021:03:29-00:10:45]  (Local) -> (LOCAL)[3]Caceres|AUC: OE
[2021:03:29-00:10:47]  (Local) -> (LOCAL)[1]Antarsia: para driftear normal
[2021:03:29-00:10:48]  (Local) -> (LOCAL)[3]malo'2cb: vamis
[2021:03:29-00:10:49]  (Local) -> (LOCAL)[3]Caceres|AUC: POR 800K
[2021:03:29-00:10:51]  (Global) -> Loco_Montes: cojo esta?
[2021:03:29-00:10:51]  (Local) -> (LOCAL)[2]Antarsia: esta bien
[2021:03:29-00:10:52]  (Local) -> (LOCAL)[3]Caceres|AUC: QUE HAY?
[2021:03:29-00:11:00]  (Local) -> (LOCAL)[3]Flaco'2cb: le vendo el del nacio
[2021:03:29-00:11:02]  (Local) -> (LOCAL)[2]Antarsia: pero si queres hacer 360s le falta angulo xd
[2021:03:29-00:11:04]  (Local) -> (LOCAL)[3]Flaco'2cb: el palo carlos
[2021:03:29-00:11:11]  (Local) -> (LOCAL)[3]malo'2cb: el palo q
[2021:03:29-00:11:12]  (Global) -> ALIAS_CABO[2cb]: hable por disc
[2021:03:29-00:11:14]  (Local) -> (LOCAL)[1]santi|YK|: vale 10000 pesos
[2021:03:29-00:11:16]  (Local) -> (LOCAL)[3]malo'2cb: vamos a la tienda esa
[2021:03:29-00:11:17]  (Local) -> (LOCAL)[3]Flaco'2cb: el millon
[2021:03:29-00:11:19]  (Local) -> (LOCAL)[3]malo'2cb: mmgvo
[2021:03:29-00:11:22]  (Global) -> km9: buenas
[2021:03:29-00:11:22]  (Local) -> (LOCAL)[3]Flaco'2cb: ya re pase el carro
[2021:03:29-00:11:25]  (Team - Services) -> (TEAM)Drogba22: hola
[2021:03:29-00:11:25]  (Local) -> (LOCAL)[3]Flaco'2cb: pasa el palo
[2021:03:29-00:11:27]  (Local) -> (LOCAL)[3]malo'2cb: a
[2021:03:29-00:11:30]  (Team - Services) -> (TEAM)Drogba22: venga
[2021:03:29-00:11:33]  (Local) -> (LOCAL)[1]marinoperez(P): oe
[2021:03:29-00:11:44]  (Local) -> (LOCAL)[3]Caceres|AUC: OE
[2021:03:29-00:11:49]  (Global) -> PIMP_23: ALZATEEEEEEEEEEEE
[2021:03:29-00:11:52]  (Local) -> (LOCAL)[4]Flaco'2cb: ey es un palo
[2021:03:29-00:11:52]  (Local) -> (LOCAL)[1]el_mono(YK): y se puede pagar por efecty?
[2021:03:29-00:11:53]  (Local) -> (LOCAL)[4]Caceres|AUC: POR 2 PALOS QUE HAY?
[2021:03:29-00:11:58]  (Local) -> (LOCAL)[4]malo'2cb: ta
[2021:03:29-00:11:59]  (Local) -> (LOCAL)[1]santi|YK|: si
[2021:03:29-00:12:03]  (Global) -> km9: que cuesta normal mente =?
[2021:03:29-00:12:03]  (Local) -> (LOCAL)[4]Caceres|AUC: VAMOS
[2021:03:29-00:12:04]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: TartarusZcB[6]
[2021:03:29-00:12:04]  (Global) -> PIMP_23: MANIN
[2021:03:29-00:12:04]  (Local) -> (LOCAL)[4]Flaco'2cb: No tengo nada a eso bro
[2021:03:29-00:12:10]  (Global) -> PIMP_23: UNA PREGUNTA
[2021:03:29-00:12:11]  (Global) -> el_mono(YK): listo lo voy a averiguar
[2021:03:29-00:12:12]  (Local) -> (LOCAL)[1]Drogba22: cuesta 1 palo 500
[2021:03:29-00:12:14]  (Local) -> (LOCAL)[4]Caceres|AUC: LA BUSETA CUANTOI?
[2021:03:29-00:12:20]  (Global) -> km9: esta cara como la vende 
[2021:03:29-00:12:20]  (Local) -> (LOCAL)[4]Flaco'2cb: esa buseta nao nao}w
[2021:03:29-00:12:23]  (Global) -> km9: deja la pruebo
[2021:03:29-00:12:23]  (Local) -> (LOCAL)[1]santi|YK|: en el discord del server
[2021:03:29-00:12:23]  (Local) -> (LOCAL)[2]Antarsia: es medio dificil usar el freno
[2021:03:29-00:12:23]  (Global) -> ALIAS_CABO[2cb]:  oe
[2021:03:29-00:12:26]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: TartarusZcB[6]
[2021:03:29-00:12:26]  (Local) -> (LOCAL)[4]Caceres|AUC: JAJAJAJA}
[2021:03:29-00:12:26]  (Local) -> (LOCAL)[1]Drogba22: vea
[2021:03:29-00:12:27]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:12:29]  (Global) -> PIMP_23: MANIN
[2021:03:29-00:12:29]  (Local) -> (LOCAL)[2]Antarsia: por que a veces para raro
[2021:03:29-00:12:30]  (Local) -> (LOCAL)[1]Drogba22: se la dejo a 1 palo pues
[2021:03:29-00:12:30]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: solo tengo estos dos
[2021:03:29-00:12:32]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: XD
[2021:03:29-00:12:35]  (Local) -> (LOCAL)[2]Antarsia: pero es agarrle la mano
[2021:03:29-00:12:35]  (Global) -> PIMP_23: SI ESTAS AHI PEGAME
[2021:03:29-00:12:35]  (Local) -> (LOCAL)[3]Caceres|AUC: MUESTRE CUALES TIENE
[2021:03:29-00:12:38]  (Local) -> (LOCAL)[1]el_mono(YK): los puedes pasar por el grupo
[2021:03:29-00:12:39]  (Local) -> (LOCAL)[3]Caceres|AUC: VENGA
[2021:03:29-00:12:40]  (Local) -> (LOCAL)[2]Antarsia: este esta bueno
[2021:03:29-00:12:44]  (Global) -> PIMP_23: TENGO UNAPREGUNTA
[2021:03:29-00:12:45]  (Local) -> (LOCAL)[2]Antarsia: aunque
[2021:03:29-00:12:46]  (Local) -> (LOCAL)[2]GOMITA0810|Z: como putas no voy a saber bajar mi tiempo?
[2021:03:29-00:12:51]  (Local) -> (LOCAL)[2]Antarsia: los 2 son all
[2021:03:29-00:12:54]  (Phone:SMS) -> From StraightDrum25 | To: PANDEBONO"AUC" | Message: hola
[2021:03:29-00:12:58]  (Global) -> Loco_Montes: me escucha?
[2021:03:29-00:12:59]  (Local) -> (LOCAL)[1]Antarsia: pero bueno
[2021:03:29-00:13:03]  (Local) -> (LOCAL)[2]Flaco'2cb: ojo
[2021:03:29-00:13:06]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: TartarusZcB[6]
[2021:03:29-00:13:06]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:13:07]  (Global) -> ALIAS_CABO[2cb]: hable por discor
[2021:03:29-00:13:12]  (Local) -> (LOCAL)[5]Spcem'DeTemeer~: noo
[2021:03:29-00:13:21]  (Global) -> km9: 500 y un carro
[2021:03:29-00:13:31]  (Local) -> (LOCAL)[6]GustavoEscobar: peyeta
[2021:03:29-00:13:33]  (Local) -> (LOCAL)[1]Drogba22: que carro
[2021:03:29-00:13:34]  (Local) -> (LOCAL)[2]Caceres|AUC: MUESHE
[2021:03:29-00:13:35]  (Global) -> km9: le bajastes el carburador ?
[2021:03:29-00:13:40]  (Local) -> (LOCAL)[2]Caceres|AUC: NO DE L AMERICA?
[2021:03:29-00:13:40]  (Team - Law Enforcement) -> (TEAM)Peyeta'AUC: que paso
[2021:03:29-00:13:41]  (Local) -> (LOCAL)[1]Drogba22: nop
[2021:03:29-00:13:41]  (Local) -> (LOCAL)[2]Flaco'2cb: este del nacio y tolima
[2021:03:29-00:13:45]  (Local) -> (LOCAL)[1]Flaco'2cb: No hay
[2021:03:29-00:13:45]  (Global) -> Loco_Montes: yo a usted no lo escucho
[2021:03:29-00:13:46]  (Local) -> (LOCAL)[1]Caceres|AUC: JUMMM
[2021:03:29-00:13:50]  (Global) -> ALIAS_CABO[2cb]:  esp
[2021:03:29-00:13:51]  (Local) -> (LOCAL)[4]Spcem'DeTemeer~: Cheverry sueltanos pls
[2021:03:29-00:13:52]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: QUIEN VENDE SANKING PORFAA
[2021:03:29-00:13:55]  (Global) -> Stiven_uchiha: xd
[2021:03:29-00:13:59]  (Local) -> (LOCAL)[1]Caceres|AUC: MUESTRE TODO0 QUE PASE POR 2 PALOS
[2021:03:29-00:14:01]  (Team - Services) -> (TEAM)elpollero: /kill
[2021:03:29-00:14:04]  (Local) -> (LOCAL)[8]SOX~>GalloNegro: suelte sapo
[2021:03:29-00:14:06]  (Local) -> (LOCAL)[1]Flaco'2cb: Nada no vendo mas nada
[2021:03:29-00:14:12]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:14:14]  (Local) -> (LOCAL)[1]Flaco'2cb: ey ud como comenzo a pegar de un dia pa otoro
[2021:03:29-00:14:19]  (Local) -> (LOCAL)[1]Flaco'2cb: que instalo
[2021:03:29-00:14:20]  (Local) -> (LOCAL)[8]Murcielago'Z: malparido perro este no deja jugar
[2021:03:29-00:14:21]  (Local) -> (LOCAL)[1]Caceres|AUC: PUES VENDAME EL DE TOLIMA
[2021:03:29-00:14:22]  (Local) -> (LOCAL)[1]Drogba22: no pri, la verdad necesito la money+
[2021:03:29-00:14:28]  (Local) -> (LOCAL)[1]Flaco'2cb: Pase 1 palo
[2021:03:29-00:14:31]  (Local) -> (LOCAL)[7]GustavoEscobar: xd
[2021:03:29-00:14:32]  (Local) -> (LOCAL)[1]Caceres|AUC: JAJAJJAA NADA
[2021:03:29-00:14:34]  (Local) -> (LOCAL)[1]Flaco'2cb: y le paso el carro
[2021:03:29-00:14:38]  (Local) -> (LOCAL)[1]Caceres|AUC: LIMPIO MI MAESTRO FIE
[2021:03:29-00:14:39]  (Local) -> (LOCAL)[6]Gauss|ELN: Q PASA SPCEM
[2021:03:29-00:14:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: voy a ir a hacer pelechita
[2021:03:29-00:14:39]  (Global) -> |For_Sety|: xd
[2021:03:29-00:14:40]  ([Msg] de Spcem'DeTemeer~ para Gauss|ELN: Suelta a SOX~>GalloNegro pls jsj es que le estoy enseñando) -> nil
[2021:03:29-00:14:40]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: chao
[2021:03:29-00:14:42]  (Local) -> (LOCAL)[1]Flaco'2cb: pO hay tengo unas imagenes
[2021:03:29-00:14:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: Bv
[2021:03:29-00:14:44]  (Local) -> (LOCAL)[6]Gauss|ELN: SUELTO AL GALLO?
[2021:03:29-00:14:44]  (Local) -> (LOCAL)[1]Antarsia: nv
[2021:03:29-00:14:45]  (Local) -> (LOCAL)[1]Caceres|AUC: OREO Y COLOMBIA
[2021:03:29-00:14:47]  (Local) -> (LOCAL)[5]Spcem'DeTemeer~: Siza pls
[2021:03:29-00:14:47]  (Local) -> (LOCAL)[1]Flaco'2cb: que no dicen lo mismo
[2021:03:29-00:14:47]  (Global) -> TheCrazyPipeNeXus: sand
[2021:03:29-00:14:48]  (Local) -> (LOCAL)[1]Caceres|AUC: MUECHE
[2021:03:29-00:14:51]  (Global) -> SANTIAGO(ELN): ayuda bro
[2021:03:29-00:14:52]  (Local) -> (LOCAL)[1]Caceres|AUC: Y LE CREO
[2021:03:29-00:14:55]  (Local) -> (LOCAL)[8]GustavoEscobar: yo que?
[2021:03:29-00:15:00]  (Local) -> (LOCAL)[2]Drogba22: entonces
[2021:03:29-00:15:02]  (Local) -> (LOCAL)[2]Oreo^--------^: aja como asi q como fue
[2021:03:29-00:15:06]  (Local) -> (LOCAL)[2]Caceres|AUC: MLP LELE JAJAJAJA le dije que medio iba a instalar y nah
[2021:03:29-00:15:09]  (Local) -> (LOCAL)[2]0000000000dilan: q
[2021:03:29-00:15:15]  (Local) -> (LOCAL)[2]0000000000dilan: calla down
[2021:03:29-00:15:17]  (Global) -> KiraOwO~Capu|#5723FEGDT!: &
[2021:03:29-00:15:19]  (Global) -> km9: te doy una amazon video
[2021:03:29-00:15:21]  (Local) -> (LOCAL)[2]Oreo^--------^: no puedo
[2021:03:29-00:15:21]  (Local) -> (LOCAL)[2]Flaco'2cb: aa si es verdad
[2021:03:29-00:15:24]  (Local) -> (LOCAL)[1]|For_Sety|: vamos a un hospital y agarrom una moto
[2021:03:29-00:15:25]  (Global) -> km9: o disney plus
[2021:03:29-00:15:29]  (Local) -> (LOCAL)[1]Drogba22: jaja
[2021:03:29-00:15:30]  (Global) -> km9: spotify
[2021:03:29-00:15:34]  (Global) -> GustavoEscobar|#FF8CE7✿: Peyeta'AUC
[2021:03:29-00:15:35]  (Local) -> (LOCAL)[2]Drogba22: cuanto tiene?
[2021:03:29-00:15:45]  (Global) -> km9: en el banco como 400 
[2021:03:29-00:15:51]  (Local) -> (LOCAL)[1]Drogba22: y aca
[2021:03:29-00:15:51]  (Local) -> (LOCAL)[1]Caceres|AUC: me llovo el de millos
[2021:03:29-00:15:53]  (Local) -> (LOCAL)[1]SANTIAGO(ELN): jajajaj
[2021:03:29-00:15:56]  (Global) -> km9: 5
[2021:03:29-00:16:00]  (Local) -> (LOCAL)[1]Caceres|AUC: cuanto?
[2021:03:29-00:16:04]  (Local) -> (LOCAL)[1]Flaco'2cb: 1 palo
[2021:03:29-00:16:06]  (Local) -> (LOCAL)[1]Flaco'2cb: todos 1 palo
[2021:03:29-00:16:07]  (Local) -> (LOCAL)[1]Caceres|AUC: epa
[2021:03:29-00:16:09]  (Local) -> (LOCAL)[2]yu: pablo
[2021:03:29-00:16:12]  (Local) -> (LOCAL)[1]Drogba22: mano sabe que, cuando tenga la money me diace
[2021:03:29-00:16:12]  (Local) -> (LOCAL)[2]PabloOwO~ELN: ?
[2021:03:29-00:16:15]  (Local) -> (LOCAL)[2]yu: reclute mor
[2021:03:29-00:16:19]  (Global) -> km9: netflix
[2021:03:29-00:16:20]  (Global) -> Peyeta'AUC: q pasa
[2021:03:29-00:16:31]  (Local) -> (LOCAL)[1]PANDEBONO"AUC": suba
[2021:03:29-00:16:39]  (Global) -> cryligth: venid
[2021:03:29-00:16:40]  (Local) -> (LOCAL)[2]PabloOwO~ELN: ale
[2021:03:29-00:16:40]  (Local) -> (LOCAL)[2]yu: reclute mor
[2021:03:29-00:16:42]  (Local) -> (LOCAL)[4]Caceres|AUC: dele /regalar
[2021:03:29-00:16:48]  (Local) -> (LOCAL)[2]yu: invite
[2021:03:29-00:16:49]  (Local) -> (LOCAL)[2]Flaco'2cb: Yo se
[2021:03:29-00:16:55]  (Local) -> (LOCAL)[2]Flaco'2cb: pase la plata primero parcero
[2021:03:29-00:16:55]  (Local) -> (LOCAL)[2]PabloOwO~ELN: ya
[2021:03:29-00:16:56]  (Local) -> (LOCAL)[2]Caceres|AUC: aqui los tengo ya
[2021:03:29-00:16:58]  (Local) -> (LOCAL)[2]Peyeta'AUC: eeee
[2021:03:29-00:17:02]  (Local) -> (LOCAL)[2]Caceres|AUC: epa estoy grabando
[2021:03:29-00:17:02]  (Local) -> (LOCAL)[2]Peyeta'AUC: empujeme
[2021:03:29-00:17:02]  (Local) -> (LOCAL)[2]Drogba22: ais
[2021:03:29-00:17:04]  (Local) -> (LOCAL)[2]Drogba22: el peyeta
[2021:03:29-00:17:06]  (Local) -> (LOCAL)[2]Flaco'2cb: Grabe
[2021:03:29-00:17:07]  (Local) -> (LOCAL)[2]Peyeta'AUC: me quede sin gasofa
[2021:03:29-00:17:09]  (Local) -> (LOCAL)[2]Flaco'2cb: yo soy serio
[2021:03:29-00:17:26]  (Local) -> (LOCAL)[3]SincereSwordsman61: por gay hpy
[2021:03:29-00:17:29]  (Local) -> (LOCAL)[4]Drogba22: vea
[2021:03:29-00:17:31]  (Local) -> (LOCAL)[3]SincereSwordsman61: tombo
[2021:03:29-00:17:40]  (Local) -> (LOCAL)[3]Drogba22: hagase en la estacion
[2021:03:29-00:17:57]  (Global) -> ALIAS_CABO[2cb]:  no se q paso
[2021:03:29-00:18:06]  (Global) -> Loco_Montes: jumm
[2021:03:29-00:18:11]  (Local) -> (LOCAL)[1]Flaco'2cb: es un palo
[2021:03:29-00:18:16]  (Local) -> (LOCAL)[3]SincereSwordsman61: aprenda a manejar hot
[2021:03:29-00:18:16]  (Local) -> (LOCAL)[1]Caceres|AUC: cuanto le enjvie?
[2021:03:29-00:18:20]  (Local) -> (LOCAL)[1]Flaco'2cb: 100k
[2021:03:29-00:18:23]  (Local) -> (LOCAL)[1]Caceres|AUC: jajajja xd
[2021:03:29-00:18:24]  (Global) -> km9: diga
[2021:03:29-00:18:28]  (Global) -> km9: quiere chupar ?
[2021:03:29-00:18:36]  (Local) -> (LOCAL)[1]Andres_Ramires||2cb||: BAILE O NO LO LLEVO
[2021:03:29-00:18:38]  (Team - Services) -> (TEAM)Diablo/ELN: /sound
[2021:03:29-00:18:45]  (Global) -> yu|ELN|#FF8CE7✿: xd
[2021:03:29-00:18:51]  (Global) -> ALIAS_CABO[2cb]: oe
[2021:03:29-00:18:57]  (Global) -> Stiven_uchiha: esta calle que
[2021:03:29-00:18:58]  (Global) -> Loco_Montes: oe
[2021:03:29-00:19:01]  (Local) -> (LOCAL)[2]ALCapone|EVG|: de aqui no me bajo
[2021:03:29-00:19:05]  (Global) -> |For_Sety|: no c
[2021:03:29-00:19:09]  (Local) -> (LOCAL)[2]Caceres|AUC: what
[2021:03:29-00:19:10]  (Local) -> (LOCAL)[2]Flaco'2cb: Me enviaste 90k
[2021:03:29-00:19:10]  (Global) -> ALIAS_CABO[2cb]: q
[2021:03:29-00:19:12]  (Local) -> (LOCAL)[1]Andres_Ramires||2cb||: BAILE O NO LO LLEVO
[2021:03:29-00:19:13]  (Local) -> (LOCAL)[1]Caceres|AUC: verga
[2021:03:29-00:19:15]  (Local) -> (LOCAL)[2]Caceres|AUC: no envia
[2021:03:29-00:19:17]  (Global) -> Stiven_uchiha: compre chaleco
[2021:03:29-00:19:24]  (Local) -> (LOCAL)[2]Flaco'2cb: jajajaj este man hermano
[2021:03:29-00:19:24]  (Global) -> ALIAS_CABO[2cb]:  curese f6
[2021:03:29-00:19:33]  (Global) -> yu|ELN|#FF8CE7✿: xd
[2021:03:29-00:19:35]  (Local) -> (LOCAL)[2]JuanKa|z: f
[2021:03:29-00:19:37]  (Local) -> (LOCAL)[4]Flaco'2cb: hay es un niño
[2021:03:29-00:19:42]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: mi mejor amigo
[2021:03:29-00:19:44]  (Global) -> mata|#E20280 ඞ: #000000 alucinaos
[2021:03:29-00:19:45]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: ELMATACHIVOS
[2021:03:29-00:19:49]  (Global) -> mata|#E20280 ඞ: aaa
[2021:03:29-00:19:51]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: aaa
[2021:03:29-00:19:54]  (Global) -> mata|#E20280 ඞ: deje pegarlo mi vrp
[2021:03:29-00:19:59]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: q
[2021:03:29-00:20:01]  (Global) -> |For_Sety|: ojo
[2021:03:29-00:20:02]  (Local) -> (LOCAL)[3]Caceres|AUC: ya?
[2021:03:29-00:20:04]  (Global) -> mata|#E20280 ඞ: bueno a desayunar
[2021:03:29-00:20:07]  (Global) -> mata|#E20280 ඞ: xiao 
[2021:03:29-00:20:07]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: pguese a este
[2021:03:29-00:20:08]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: JJJJJJ
[2021:03:29-00:20:12]  (Global) -> #FF8CE7TartarusZcB|#FF8CE7✿: xDDDD
[2021:03:29-00:20:19]  (Global) -> StraightDrum25: se puede comprar dinero en el juego?
[2021:03:29-00:20:19]  (Global) -> mata|#E20280 ඞ: qva usted no tiene pene
[2021:03:29-00:20:22]  (Local) -> (LOCAL)[3]Flaco'2cb: ya
[2021:03:29-00:20:24]  (Global) -> mata|#E20280 ඞ: ud tiene pirulo
[2021:03:29-00:20:30]  (Global) -> Peyeta'AUC: marinoperez(P)[3] oe sapa donde esta
[2021:03:29-00:20:31]  (Global) -> yu|ELN|#FF8CE7✿: xd}
[2021:03:29-00:21:08]  (Global) -> StraightDrum25: se puede comprar dinero del juego o vip y como=
[2021:03:29-00:21:10]  (Global) -> Caceres|AUC: flaco
[2021:03:29-00:21:16]  (Global) -> Flaco'2cb|#83FF00ʍđท: Vendo carro del nacional millo y tolima
[2021:03:29-00:21:18]  (Global) -> Flaco'2cb|#83FF00ʍđท: que
[2021:03:29-00:21:24]  (Global) -> Caceres|AUC: venga mk
[2021:03:29-00:21:27]  (Global) -> ALIAS_CABO[2cb]: oe marque otra ves
[2021:03:29-00:21:31]  (Local) -> (LOCAL)[7]justingomez: agente
[2021:03:29-00:21:32]  (Global) -> ALIAS_CABO[2cb]: llame
[2021:03:29-00:21:40]  (Global) -> 0000000000dilan|#012F7AＫＰ→延:  '-'
[2021:03:29-00:21:45]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: s tartarus
[2021:03:29-00:21:46]  (Local) -> (LOCAL)[9]justingomez: ie
[2021:03:29-00:21:52]  (Global) -> tetrapaks/chirry|#83FF00ʍđท: t
[2021:03:29-00:21:58]  (Local) -> (LOCAL)[3]justingomez: pablo oe
[2021:03:29-00:22:02]  (Global) -> Flaco'2cb|#83FF00ʍđท: vendo carro del nacional millo y tolima
[2021:03:29-00:22:02]  (Local) -> (LOCAL)[3]justingomez: oe usred
[2021:03:29-00:22:07]  (Global) -> km9: licencia
[2021:03:29-00:22:10]  (Global) -> Andres_Ramires||2cb|||#E20280 ඞ: QUIEN VENDE SANKING PORFAA
[2021:03:29-00:22:15]  (Team - Services) -> (TEAM)justingomez: ie
[2021:03:29-00:22:15]  (Local) -> (LOCAL)[1]malo'2cb: ya vengo
[2021:03:29-00:22:19]  (Local) -> (LOCAL)[4]justingomez: oe
[2021:03:29-00:22:26]  (Global) -> COPETON2cb: yoooooooooo
[2021:03:29-00:22:26]  (Local) -> (LOCAL)[6]Oreo^--------^: q hace
[2021:03:29-00:22:26]  (Local) -> (LOCAL)[3]Peyeta'AUC: oe
[2021:03:29-00:22:28]  (Local) -> (LOCAL)[6]~>CoGoYo-|AUC|: aaa
[2021:03:29-00:22:30]  (Local) -> (LOCAL)[6]~>CoGoYo-|AUC|: ayudaaaa
[2021:03:29-00:22:34]  (Local) -> (LOCAL)[6]Oreo^--------^: oiga
[2021:03:29-00:22:34]  (Local) -> (LOCAL)[2]justingomez: aseme un ctueze
[2021:03:29-00:22:35]  (Local) -> (LOCAL)[6]~>CoGoYo-|AUC|: auc
[2021:03:29-00:22:37]  (Local) -> (LOCAL)[5]~>CoGoYo-|AUC|: sueltame
[2021:03:29-00:22:38]  (Team - Unemployed) -> (TEAM)PUMA: /mods
[2021:03:29-00:22:39]  (Local) -> (LOCAL)[2]Peyeta'AUC: hablame
[2021:03:29-00:22:40]  (Local) -> (LOCAL)[3]justingomez: crueze
[2021:03:29-00:22:43]  (Local) -> (LOCAL)[2]C|ogoying-|AUC|: oe
[2021:03:29-00:22:47]  (Global) -> PUMA: ,m
