This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-00:06:18]  (Local) -> (LOCAL)[6]2cb'pablitopai: aca esta su carro favorito
[2020:10:12-00:06:19]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: pere
[2020:10:12-00:06:21]  (Global) -> Wilthor: neah laser pa vips
[2020:10:12-00:06:24]  (Local) -> (LOCAL)[1]$oltec: f
[2020:10:12-00:06:24]  (Local) -> (LOCAL)[6]2cb'ratix: si señor llego un gran mk a amatarlo ayer
[2020:10:12-00:06:25]  (Global) -> C4rtex: sip
[2020:10:12-00:06:27]  (Global) -> [M19]arete[GT]: de pate de cchocorramo
[2020:10:12-00:06:28]  (Local) -> (LOCAL)[10][EVG]Orgalor: yo tengo uno de 14k
[2020:10:12-00:06:28]  (Local) -> (LOCAL)[4]TUERTO: ahh
[2020:10:12-00:06:32]  (Local) -> (LOCAL)[1]2cb'SingleChamber: oe
[2020:10:12-00:06:34]  (Local) -> (LOCAL)[3][Z]DanielFly: xd
[2020:10:12-00:06:37]  (Local) -> (LOCAL)[1]2cb'SingleChamber: vamos a joder al escobar
[2020:10:12-00:06:37]  (Local) -> (LOCAL)[1]$oltec: q
[2020:10:12-00:06:38]  (Local) -> (LOCAL)[1]2cb'SingleChamber: o q
[2020:10:12-00:06:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: me prestas 10k? xd
[2020:10:12-00:06:39]  (Local) -> (LOCAL)[9][EVG]Orgalor: hey joputa
[2020:10:12-00:06:39]  (Local) -> (LOCAL)[9]2cB*PapiChamberUwU: nea
[2020:10:12-00:06:40]  (Global) -> paulo: en que trabaga
[2020:10:12-00:06:41]  (Local) -> (LOCAL)[9][EVG]Orgalor: la puerta<
[2020:10:12-00:06:42]  (Local) -> (LOCAL)[1]$oltec: nosee
[2020:10:12-00:06:42]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: no
[2020:10:12-00:06:43]  (Local) -> (LOCAL)[10][EVG]Orgalor: cabron
[2020:10:12-00:06:46]  (Local) -> (LOCAL)[6]2cb'pablitopai: patron
[2020:10:12-00:06:46]  (Local) -> (LOCAL)[1]$oltec: vamos
[2020:10:12-00:06:47]  (Local) -> (LOCAL)[11]Chys: y que metodos de pago hay?
[2020:10:12-00:06:48]  (Local) -> (LOCAL)[11]2cB*PapiChamberUwU: cuanto el carro?
[2020:10:12-00:06:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: se acabo :"v
[2020:10:12-00:06:52]  (Local) -> (LOCAL)[6]2cb'pablitopai: yo le tengo ganas al chocorramo
[2020:10:12-00:06:52]  (Global) -> [M19]arete[GT]: tsubditodesatan tambien
[2020:10:12-00:06:54]  (Local) -> (LOCAL)[1]2cb'SingleChamber: pere lo lozalizo
[2020:10:12-00:06:56]  (Local) -> (LOCAL)[12]|GT|~La_Loli~: jajajaj
[2020:10:12-00:06:57]  (Local) -> (LOCAL)[12]Cheverry: NO LO VENDO XD
[2020:10:12-00:06:58]  (Local) -> (LOCAL)[12][EVG]Orgalor: por nequi y bancolombia
[2020:10:12-00:06:59]  (Local) -> (LOCAL)[6]2cb'pablitopai: hace rato lo quiero matar
[2020:10:12-00:06:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: si yano somos amigos
[2020:10:12-00:07:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: gracias
[2020:10:12-00:07:01]  (Local) -> (LOCAL)[1][GT]Anndrew[LR]: perdon
[2020:10:12-00:07:04]  (Local) -> (LOCAL)[6]2cb'pablitopai: ahora esta como
[2020:10:12-00:07:05]  (Local) -> (LOCAL)[1]$oltec: si sigue practicando lo mato
[2020:10:12-00:07:06]  (Global) -> paulo: hola
[2020:10:12-00:07:07]  (Local) -> (LOCAL)[6]2cb|Popeye: apague eso
[2020:10:12-00:07:07]  (Local) -> (LOCAL)[1]LOKILLO: PA
[2020:10:12-00:07:07]  (Local) -> (LOCAL)[12][EVG]Orgalor: oeee
[2020:10:12-00:07:08]  (Local) -> (LOCAL)[6]2cb'pablitopai: camilop202
[2020:10:12-00:07:08]  (Local) -> (LOCAL)[1]LOKILLO: EPRE
[2020:10:12-00:07:10]  (Local) -> (LOCAL)[12][EVG]Orgalor: gonorrea
[2020:10:12-00:07:10]  (Local) -> (LOCAL)[1]$oltec: fastidioso
[2020:10:12-00:07:11]  (Global) -> C4rtex: hola
[2020:10:12-00:07:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: quien
[2020:10:12-00:07:12]  (Local) -> (LOCAL)[6]2cb'pablitopai: asi es el nick
[2020:10:12-00:07:12]  (Local) -> (LOCAL)[1]LOKILLO: CUANTO EM VENDE ESA
[2020:10:12-00:07:12]  (Local) -> (LOCAL)[13][EVG]Orgalor: ashhh
[2020:10:12-00:07:14]  (Local) -> (LOCAL)[12]Chys: melo me sirve por nequi
[2020:10:12-00:07:18]  (Local) -> (LOCAL)[13][EVG]Orgalor: si
[2020:10:12-00:07:22]  (Local) -> (LOCAL)[13][EVG]Orgalor: tenes discord?
[2020:10:12-00:07:22]  (Local) -> (LOCAL)[1]LOKILLO: SI
[2020:10:12-00:07:23]  (Global) -> [S.A.S][G]Daniels: esta?
[2020:10:12-00:07:24]  (Local) -> (LOCAL)[1]LOKILLO: CUANTO
[2020:10:12-00:07:25]  (Local) -> (LOCAL)[1]2cb'SingleChamber: ishh
[2020:10:12-00:07:28]  (Local) -> (LOCAL)[13][EVG]Orgalor: en el discord del server
[2020:10:12-00:07:28]  (Global) -> paulo: si
[2020:10:12-00:07:30]  (Local) -> (LOCAL)[6]2cb'pablitopai: nooo espera
[2020:10:12-00:07:31]  (Global) -> CHOCORRAMO: recuenden ando pondiendo musica f3<radio cvr 2020< play music
[2020:10:12-00:07:31]  (Local) -> (LOCAL)[12]Wilthor: buenas
[2020:10:12-00:07:32]  (Local) -> (LOCAL)[14][EVG]Orgalor: esta la informaxion
[2020:10:12-00:07:33]  (Global) -> [M19]arete[GT]: subditodesatanas tambien
[2020:10:12-00:07:34]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: no la vendo pa
[2020:10:12-00:07:35]  (Local) -> (LOCAL)[6]2cb'pablitopai: es camilop202
[2020:10:12-00:07:39]  (Local) -> (LOCAL)[11](CTA)BAZUCO[GT]: hola
[2020:10:12-00:07:40]  (Local) -> (LOCAL)[1]LOKILLO: VENDEMA TODO BIEN
[2020:10:12-00:07:42]  (Global) -> [M19]arete[GT]: el gt
[2020:10:12-00:07:44]  (Local) -> (LOCAL)[14]|GT|~La_Loli~: aaaaaaaaaaaaaa
[2020:10:12-00:07:44]  (Local) -> (LOCAL)[1]LOKILLO: TODO BINE
[2020:10:12-00:07:45]  (Local) -> (LOCAL)[6]2cb'pablitopai: a ese hay q tumbarlo
[2020:10:12-00:07:46]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:07:48]  (Local) -> (LOCAL)[13]|GT|~La_Loli~: me agarro al fin
[2020:10:12-00:07:49]  (Local) -> (LOCAL)[6]2cb'pablitopai: es camilop202
[2020:10:12-00:07:50]  (Local) -> (LOCAL)[6]2cb'ratix: asi es patron
[2020:10:12-00:07:53]  (Local) -> (LOCAL)[11]ChockysYT: como se hace eso de la musica?
[2020:10:12-00:07:56]  (Local) -> (LOCAL)[6]2cb'ratix: aaaaa
[2020:10:12-00:07:57]  (Local) -> (LOCAL)[12][EVG]Orgalor: conj
[2020:10:12-00:07:57]  (Local) -> (LOCAL)[1]Fernando: hola
[2020:10:12-00:07:57]  (Local) -> (LOCAL)[6]2cb'ratix: aaaa
[2020:10:12-00:07:58]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: jajajaja pana la compre en 8 palos
[2020:10:12-00:08:00]  (Local) -> (LOCAL)[12][EVG]Orgalor: /bafle
[2020:10:12-00:08:02]  (Local) -> (LOCAL)[1]LOKILLO: PLLIS
[2020:10:12-00:08:03]  (Local) -> (LOCAL)[1]|GT|~La_Loli~: bueno son 30 segundos nomas
[2020:10:12-00:08:03]  (Local) -> (LOCAL)[1]$oltec: yo no hablo mierda
[2020:10:12-00:08:07]  (Local) -> (LOCAL)[1]2cb_tu_diosa: OLA
[2020:10:12-00:08:07]  (Local) -> (LOCAL)[1]LOKILLO: 8
[2020:10:12-00:08:10]  (Local) -> (LOCAL)[5]2cb|Popeye: muy gracioso
[2020:10:12-00:08:13]  (Local) -> (LOCAL)[1]2cb_tu_diosa: PA DONDE TE LLEVO?
[2020:10:12-00:08:15]  (Local) -> (LOCAL)[1]Fernando: me acercas a la estaciond e policia
[2020:10:12-00:08:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: XDFDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2020:10:12-00:08:18]  (Local) -> (LOCAL)[1]LOKILLO: MK YO TUVE UAN QUE ME VENDIERON EN UN PLAO XD
[2020:10:12-00:08:19]  (Local) -> (LOCAL)[1]2cb_tu_diosa: OK
[2020:10:12-00:08:19]  (Local) -> (LOCAL)[4]2cb|Popeye: queriendo llamar la atencion
[2020:10:12-00:08:20]  (Local) -> (LOCAL)[14][EVG]Orgalor: uyy
[2020:10:12-00:08:22]  (Local) -> (LOCAL)[1]2cb'LILPUSSY: ucomooo fueeee hppppppp
[2020:10:12-00:08:23]  (Local) -> (LOCAL)[14][EVG]Orgalor: chocorramo
[2020:10:12-00:08:23]  (Global) -> Wilthor: donde queda el trabajo de camionero?
[2020:10:12-00:08:25]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: PATRON
[2020:10:12-00:08:25]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: PATRON
[2020:10:12-00:08:26]  (Local) -> (LOCAL)[13][EVG]Orgalor: la elegancia
[2020:10:12-00:08:30]  (Local) -> (LOCAL)[1]LOKILLO: BUENO SIGA MSOTRANDO CARRO
[2020:10:12-00:08:32]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: ujajajaja ya estan caras
[2020:10:12-00:08:33]  (Global) -> ThreeMurderer40: PONGAN TUSA UWU
[2020:10:12-00:08:34]  (Local) -> (LOCAL)[3]ChockysYT: y como le pongo la musica?
[2020:10:12-00:08:34]  (Local) -> (LOCAL)[1]2cb'LILPUSSY: viejoooooo lo mateeeeeeeeeee
[2020:10:12-00:08:34]  (Local) -> (LOCAL)[2]2cb'Python: listo
[2020:10:12-00:08:35]  (Local) -> (LOCAL)[1]2cb_tu_diosa: SUBE
[2020:10:12-00:08:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: bless
[2020:10:12-00:08:37]  (Global) -> C4rtex: entre el de buseteros y el aeropuerto
[2020:10:12-00:08:40]  (Local) -> (LOCAL)[1]2cb'SingleChamber: xd
[2020:10:12-00:08:44]  (Local) -> (LOCAL)[4]ChockysYT: sirve con link de youtube?{
[2020:10:12-00:08:45]  (Local) -> (LOCAL)[1]$oltec: perdon
[2020:10:12-00:08:45]  (Global) -> [M19]arete[GT]: si son cansones
[2020:10:12-00:08:48]  (Local) -> (LOCAL)[1]LOKILLO: ESTE MK
[2020:10:12-00:08:55]  (Local) -> (LOCAL)[1]LOKILLO: CUANTO POR AL IJUPUTA JEEP
[2020:10:12-00:08:56]  (Local) -> (LOCAL)[11][EVG]Orgalor: no debe ser con el link
[2020:10:12-00:08:59]  (Local) -> (LOCAL)[3]|2cb|dilan: patron
[2020:10:12-00:09:00]  (Local) -> (LOCAL)[11][EVG]Orgalor: de convertidor
[2020:10:12-00:09:02]  (Local) -> (LOCAL)[1]Wilthor: hola
[2020:10:12-00:09:02]  (Local) -> (LOCAL)[11][EVG]Orgalor: a mp3
[2020:10:12-00:09:05]  (Local) -> (LOCAL)[1]$oltec: ishh
[2020:10:12-00:09:05]  (Local) -> (LOCAL)[3]2cb'Haze: patron
[2020:10:12-00:09:06]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Khausu: yo
[2020:10:12-00:09:06]  (Local) -> (LOCAL)[1]LOKILLO: SON 2
[2020:10:12-00:09:08]  (Local) -> (LOCAL)[11](CTA)BAZUCO[GT]: que chimba de carro pa
[2020:10:12-00:09:09]  (Local) -> (LOCAL)[1]LOKILLO: ?
[2020:10:12-00:09:09]  (Local) -> (LOCAL)[1]$oltec: ya tengo 70k
[2020:10:12-00:09:09]  (Local) -> (LOCAL)[3]2cb'pablitopai: cubra al patron
[2020:10:12-00:09:09]  (Local) -> (LOCAL)[1]2cb'SingleChamber: ish q
[2020:10:12-00:09:11]  (Global) -> Haski_Canson: yo
[2020:10:12-00:09:12]  (Local) -> (LOCAL)[11][EVG]Orgalor: agarras el link de youtube
[2020:10:12-00:09:12]  (Local) -> (LOCAL)[2]2cb|Popeye: ahorren municion
[2020:10:12-00:09:13]  (Local) -> (LOCAL)[3]2cB-Apu_N: hpta
[2020:10:12-00:09:13]  (Local) -> (LOCAL)[1]2cb'SingleChamber: sapo
[2020:10:12-00:09:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: q quieren con mi patron pues
[2020:10:12-00:09:17]  (Local) -> (LOCAL)[1]2cb'SingleChamber: todo lo q me robo
[2020:10:12-00:09:20]  (Local) -> (LOCAL)[11][EVG]Orgalor: lo conviertes
[2020:10:12-00:09:20]  (Local) -> (LOCAL)[4]ChockysYT: ah ya
[2020:10:12-00:09:20]  (Local) -> (LOCAL)[5]Fernando: gracias
[2020:10:12-00:09:21]  (Local) -> (LOCAL)[1]$oltec: bamos
[2020:10:12-00:09:23]  (Local) -> (LOCAL)[5]2cb_tu_diosa: OK
[2020:10:12-00:09:23]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 Zllanerito: que paso papi
[2020:10:12-00:09:24]  (Team - Law Enforcement) -> (TEAM)ChockysYT: voy boy
[2020:10:12-00:09:24]  (Local) -> (LOCAL)[1]paulo: i
[2020:10:12-00:09:25]  (Local) -> (LOCAL)[3]2cb'pablitopai: cubra al patron
[2020:10:12-00:09:27]  (Team - Criminals) -> (TEAM)paulo: yu
[2020:10:12-00:09:29]  (Local) -> (LOCAL)[2]2cb'Python: 3K
[2020:10:12-00:09:32]  (Local) -> (LOCAL)[4]2cB-Apu_N: yo eato normal
[2020:10:12-00:09:32]  (Local) -> (LOCAL)[1]$oltec: por intentar matarme
[2020:10:12-00:09:35]  (Global) -> CHOCORRAMO: SOBELO PAAAAAAAAAAAAAAAAAA
[2020:10:12-00:09:36]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: tampoco la vendo pa
[2020:10:12-00:09:38]  (Local) -> (LOCAL)[1]Wilthor: perdon
[2020:10:12-00:09:40]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Zllanerito: me chocastes
[2020:10:12-00:09:41]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:09:41]  (Local) -> (LOCAL)[12][EVG]Orgalor: bazuco
[2020:10:12-00:09:43]  (Local) -> (LOCAL)[4]2cB-Apu_N: Solo nos chocamos xD
[2020:10:12-00:09:43]  (Local) -> (LOCAL)[1]LOKILLO: TDO BIEN
[2020:10:12-00:09:45]  (Global) -> C4rtex: si solbelo
[2020:10:12-00:09:45]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:09:46]  (Local) -> (LOCAL)[1]Wilthor: se me fue
[2020:10:12-00:09:46]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Zllanerito: na nai nai
[2020:10:12-00:09:46]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:09:47]  (Local) -> (LOCAL)[4]|GT|~La_Loli~: mor
[2020:10:12-00:09:48]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:09:50]  (Global) -> C4rtex: a
[2020:10:12-00:09:50]  (Local) -> (LOCAL)[1]Wilthor: el dedo
[2020:10:12-00:09:50]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: esta muy cara ya
[2020:10:12-00:09:50]  (Local) -> (LOCAL)[4]|GT|~La_Loli~: dejame matarte
[2020:10:12-00:09:51]  (Global) -> |2cb|dilan: jjajj
[2020:10:12-00:09:55]  (Local) -> (LOCAL)[3](CTA)BAZUCO[GT]: hableme
[2020:10:12-00:09:56]  (Local) -> (LOCAL)[3][EVG]Orgalor: q le dijeron?
[2020:10:12-00:09:57]  (Local) -> (LOCAL)[1]LOKILLO: .____________.
[2020:10:12-00:09:58]  (Local) -> (LOCAL)[1]LOKILLO: ALE
[2020:10:12-00:10:01]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Khausu: ay xDD
[2020:10:12-00:10:02]  (Team - Services) -> (TEAM)[S.A.S][G]Daniels: y cada dia suben mas
[2020:10:12-00:10:03]  (Local) -> (LOCAL)[1]LOKILLO: TODO BIEN
[2020:10:12-00:10:03]  (Local) -> (LOCAL)[2](CTA)BAZUCO[GT]: q
[2020:10:12-00:10:04]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Zllanerito: solos si no
[2020:10:12-00:10:06]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 Zllanerito: anh
[2020:10:12-00:10:08]  (Local) -> (LOCAL)[1]LOKILLO: YO QUIERO UNA
[2020:10:12-00:10:09]  (Local) -> (LOCAL)[4][Z]DanielFly: siiiiiiiii
[2020:10:12-00:10:10]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: patron le quede mal
[2020:10:12-00:10:11]  (Local) -> (LOCAL)[1][EVG]Orgalor: del bancito?
[2020:10:12-00:10:14]  (Global) -> Wilthor: alguien me da una banda
[2020:10:12-00:10:15]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: despedido
[2020:10:12-00:10:16]  (Global) -> [M19]arete[GT]: estan matando al patron en el hospital
[2020:10:12-00:10:16]  (Local) -> (LOCAL)[1]LOKILLO: VENGA PA
[2020:10:12-00:10:17]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: me las cobro
[2020:10:12-00:10:18]  (Local) -> (LOCAL)[1]LOKILLO: DIGAME
[2020:10:12-00:10:19]  (Local) -> (LOCAL)[1](CTA)BAZUCO[GT]: que aun sobrabran como 4 carros pero que tenia que hablar con subdito
[2020:10:12-00:10:20]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: T_T
[2020:10:12-00:10:20]  (Local) -> (LOCAL)[1]LOKILLO: AN COSA
[2020:10:12-00:10:21]  (Local) -> (LOCAL)[3]2cb'palomo: amonos patron
[2020:10:12-00:10:23]  (Local) -> (LOCAL)[2]|GT|~La_Loli~: no copeo de avion
[2020:10:12-00:10:23]  (Local) -> (LOCAL)[3]2cb'pablitopai: le dije q cubriera al patron
[2020:10:12-00:10:24]  (Local) -> (LOCAL)[1][EVG]Orgalor: a ya
[2020:10:12-00:10:24]  (Local) -> (LOCAL)[1]2cb'SingleChamber: veo
[2020:10:12-00:10:25]  (Local) -> (LOCAL)[2]|GT|~La_Loli~: ojo
[2020:10:12-00:10:26]  (Local) -> (LOCAL)[1]2cb'SingleChamber: quieto
[2020:10:12-00:10:26]  (Local) -> (LOCAL)[1]$oltec: q
[2020:10:12-00:10:27]  (Local) -> (LOCAL)[1]LOKILLO: SUTED DE CASUALIDAD NO TIEN AL CHIVA
[2020:10:12-00:10:27]  (Local) -> (LOCAL)[1][EVG]Orgalor: si
[2020:10:12-00:10:28]  (Local) -> (LOCAL)[3]2cb'pablitopai: patron
[2020:10:12-00:10:28]  (Local) -> (LOCAL)[1][EVG]Orgalor: hablale
[2020:10:12-00:10:29]  (Local) -> (LOCAL)[1](CTA)BAZUCO[GT]: le dije que le daba 5 palos y no quiso
[2020:10:12-00:10:29]  (Global) -> ThreeMurderer40: PATRON Q OQ
[2020:10:12-00:10:30]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: las estan vendiendo en 20 palos ya
[2020:10:12-00:10:31]  (Local) -> (LOCAL)[2][EVG]Orgalor: aver
[2020:10:12-00:10:32]  (Local) -> (LOCAL)[1]2cb'SingleChamber: tele bar kakorro
[2020:10:12-00:10:35]  (Local) -> (LOCAL)[2][EVG]Orgalor: me acompañas
[2020:10:12-00:10:36]  (Local) -> (LOCAL)[1]LOKILLO: MK
[2020:10:12-00:10:36]  (Global) -> CHOCORRAMO: recuenden ando pondiendo musica f3<radio cvr 2020< play music
[2020:10:12-00:10:37]  (Local) -> (LOCAL)[2]2cb|Popeye: es que ese lilpussy quiere llamar la atencion
[2020:10:12-00:10:37]  (Local) -> (LOCAL)[2][EVG]Orgalor: a llenar
[2020:10:12-00:10:39]  (Local) -> (LOCAL)[1]LOKILLO: PERO VENDEMLA
[2020:10:12-00:10:39]  (Local) -> (LOCAL)[2](CTA)BAZUCO[GT]: ya le escribi a subdito
[2020:10:12-00:10:39]  (Global) -> themateo: si mato a un militar de criminal me pagan?
[2020:10:12-00:10:41]  (Local) -> (LOCAL)[1][EVG]Orgalor: la gasolina
[2020:10:12-00:10:42]  (Local) -> (LOCAL)[1]LOKILLO: TODO BIEN
[2020:10:12-00:10:43]  (Local) -> (LOCAL)[2]2cb|Popeye: pobre bobo
[2020:10:12-00:10:43]  (Team - Criminals) -> (TEAM)paulo: suelteme
[2020:10:12-00:10:47]  (Local) -> (LOCAL)[2]paulo: e paso
[2020:10:12-00:10:51]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: no themateo[3]
[2020:10:12-00:10:52]  (Local) -> (LOCAL)[1][EVG]Orgalor: vamos
[2020:10:12-00:10:52]  (Global) -> paulo: que ise
[2020:10:12-00:10:55]  (Local) -> (LOCAL)[1](CTA)BAZUCO[GT]: espera me voy a quedar afk unos 10 mins ahora te busco
[2020:10:12-00:10:55]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: solo a tombos
[2020:10:12-00:10:57]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: no pa jajaja la necesito para el trabajp
[2020:10:12-00:10:57]  (Global) -> themateo: ok
[2020:10:12-00:10:58]  (Local) -> (LOCAL)[4]2cb'pablitopai: patron
[2020:10:12-00:11:00]  (Global) -> |2cb|dilan: jjajjjjj para q me diga seta .I.
[2020:10:12-00:11:01]  (Local) -> (LOCAL)[2]Wilthor: hola
[2020:10:12-00:11:02]  (Global) -> Alecitow: que hago si se em acaba la gasolina? 
[2020:10:12-00:11:03]  (Local) -> (LOCAL)[5]2cb'pablitopai: vamos en mi helicoptero
[2020:10:12-00:11:04]  (Local) -> (LOCAL)[5]2cb'palomo: esprenmos que ya viene el teso
[2020:10:12-00:11:04]  (Local) -> (LOCAL)[1]LOKILLO: .-.
[2020:10:12-00:11:05]  (Local) -> (LOCAL)[2]Wilthor: boss buny
[2020:10:12-00:11:06]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: no la tengo pa
[2020:10:12-00:11:06]  (Global) -> themateo: ok
[2020:10:12-00:11:10]  (Local) -> (LOCAL)[5]2cb'pablitopai: bueno en su helicoptero
[2020:10:12-00:11:12]  (Local) -> (LOCAL)[5]2cb'palomo: que se dice
[2020:10:12-00:11:15]  (Local) -> (LOCAL)[1]LOKILLO: SIGA MSOTRANDO CARROS
[2020:10:12-00:11:17]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: solo tengo el chiverito ZD
[2020:10:12-00:11:17]  (Local) -> (LOCAL)[1]2cb'SingleChamber: ee
[2020:10:12-00:11:17]  (Local) -> (LOCAL)[1][EVG]Orgalor: se va=
[2020:10:12-00:11:19]  (Local) -> (LOCAL)[1]$oltec: q
[2020:10:12-00:11:19]  (Local) -> (LOCAL)[1]2cb'SingleChamber: akina
[2020:10:12-00:11:21]  (Local) -> (LOCAL)[1]2cb'SingleChamber: ?
[2020:10:12-00:11:21]  (Local) -> (LOCAL)[1][EVG]Orgalor: dale
[2020:10:12-00:11:24]  (Global) -> Wilthor: alguien me da banda?
[2020:10:12-00:11:24]  (Local) -> (LOCAL)[5]2cb'pablitopai: vamos
[2020:10:12-00:11:24]  (Team - Law Enforcement) -> (TEAM)2cb'Farid: Simio no mata simio xd
[2020:10:12-00:11:26]  (Local) -> (LOCAL)[1]$oltec: nose
[2020:10:12-00:11:33]  (Local) -> (LOCAL)[5]2cb'pablitopai: ratix
[2020:10:12-00:11:35]  (Local) -> (LOCAL)[5]2cb'pablitopai: patron
[2020:10:12-00:11:37]  (Local) -> (LOCAL)[1]2cb'SingleChamber: saque
[2020:10:12-00:11:38]  (Global) -> [M19]arete[GT]: pero la mayoria de los 2cb son fastidiosos
[2020:10:12-00:11:39]  (Local) -> (LOCAL)[5]2cb'ratix: vamos
[2020:10:12-00:11:39]  (Local) -> (LOCAL)[1]2cb'SingleChamber: el sullo
[2020:10:12-00:11:41]  (Local) -> (LOCAL)[5]2cb'pablitopai: voy a ser su jefe de seguridad
[2020:10:12-00:11:41]  (Local) -> (LOCAL)[1]JudiciousWaiter41: hey!
[2020:10:12-00:11:41]  (Local) -> (LOCAL)[1]2cb'SingleChamber: sapo
[2020:10:12-00:11:44]  (Local) -> (LOCAL)[5]2cb'pablitopai: vamos
[2020:10:12-00:11:47]  (Global) -> rodolfo_martinez: CARE VERDA
[2020:10:12-00:11:47]  (Local) -> (LOCAL)[2]JudiciousWaiter41: qué te pasa?
[2020:10:12-00:11:49]  (Global) -> |2cb|dilan: pq
[2020:10:12-00:11:54]  (Local) -> (LOCAL)[5]2cb'pablitopai: vamos
[2020:10:12-00:11:55]  (Global) -> [GT]FranciscoBY: ALGUNO VENDE WILLARD
[2020:10:12-00:11:57]  (Global) -> paulo: fgh
[2020:10:12-00:12:04]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: patron estoy comiendo geletina espere
[2020:10:12-00:12:06]  (Local) -> (LOCAL)[2]2cb|Popeye: juimonos
[2020:10:12-00:12:09]  (Local) -> (LOCAL)[5]JudiciousWaiter41: gracias
[2020:10:12-00:12:15]  (Global) -> #7F7F7F|CVR|#FF0000Khausu: Ok soldado
[2020:10:12-00:12:19]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: YA ES TODO XD
[2020:10:12-00:12:20]  (Local) -> (LOCAL)[5]2cb'palomo: OE NO ME ESCUCHAN?
[2020:10:12-00:12:23]  (Global) -> Wilthor: yo quiero una gang
[2020:10:12-00:12:24]  (Local) -> (LOCAL)[4]2cb'pablitopai: patron
[2020:10:12-00:12:25]  (Local) -> (LOCAL)[1]LOKILLO: OARCE
[2020:10:12-00:12:27]  (Local) -> (LOCAL)[1]LOKILLO: DIGAME
[2020:10:12-00:12:29]  (Phone:SMS) -> From Alecitow | To: 2cb'Camilashade | Message: oe necesito de tu ayuda
[2020:10:12-00:12:30]  (Local) -> (LOCAL)[1]LOKILLO: UNA COSA
[2020:10:12-00:12:31]  (Local) -> (LOCAL)[4]2cb'LILPUSSY: PATRONNNNNNN LE GUSTAAAAA COMERRRR PISOOOOOOOOOOOO
[2020:10:12-00:12:32]  (Local) -> (LOCAL)[4]2cb'ratix: vamonos
[2020:10:12-00:12:33]  (Local) -> (LOCAL)[1]LOKILLO: SI ESTUBIERA
[2020:10:12-00:12:34]  (Local) -> (LOCAL)[4]2cb'ratix: go go
[2020:10:12-00:12:35]  (Local) -> (LOCAL)[4]2cb'pablitopai: patron vamos
[2020:10:12-00:12:42]  (Phone:SMS) -> From Alecitow | To: 2cb'Camilashade | Message: n ove que me quede sin gasolina y no se que hacer
[2020:10:12-00:12:45]  (Local) -> (LOCAL)[1]2cb'SingleChamber: pq
