This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-00:05:59]  (Local) -> (LOCAL)[1]SelfMade: pero otro dia trabajo hoy toda hacer pereza
[2020:10:11-00:05:59]  (Global) -> [GT]~CARDING: EN EL HOSPITAL
[2020:10:11-00:06:00]  (Local) -> (LOCAL)[1]Haski_EVG: /bind tecla comando
[2020:10:11-00:06:01]  (Local) -> (LOCAL)[1]KevinOcampo: pq
[2020:10:11-00:06:02]  (Local) -> (LOCAL)[1]LR|-PABLO-|GT: ez
[2020:10:11-00:06:05]  (Local) -> (LOCAL)[1]AndresCanson: XDDDDDDDDDDDD
[2020:10:11-00:06:08]  (Local) -> (LOCAL)[2][GT]FranciscoBY: NA ESE CARRO VALIA 700 K CREO
[2020:10:11-00:06:08]  (Team - Law Enforcement) -> (TEAM)Don_Joker-5fps.: xDDDDDDDDDDDDDDDDDDDD
[2020:10:11-00:06:09]  (Global) -> [GT]~CARDING: LLEGUE
[2020:10:11-00:06:10]  (Global) -> 2cb'LILPUSSY: t
[2020:10:11-00:06:12]  (Local) -> (LOCAL)[6]GT|OLAVE: lo veo lokaaa
[2020:10:11-00:06:14]  (Local) -> (LOCAL)[6][GT]Jhojan: uy
[2020:10:11-00:06:14]  (Local) -> (LOCAL)[2]2cb'EteSech: ume encanas y te mato tod el tiempo
[2020:10:11-00:06:15]  (Global) -> [GT]~CARDING: PARA AVERIGUAR ESO
[2020:10:11-00:06:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: sin animos de nada
[2020:10:11-00:06:16]  (Global) -> [GT]CARRANCHO: ya le llego
[2020:10:11-00:06:16]  (Local) -> (LOCAL)[4]2cb'Camilashade: oki
[2020:10:11-00:06:19]  (Global) -> #7F7F7F|CVR|#A9A9A9 KevinOcampo: pq
[2020:10:11-00:06:20]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#1F00FFCristoNosAbandono: ocampo
[2020:10:11-00:06:20]  (Global) -> Diomedes777: me escuvha?
[2020:10:11-00:06:20]  (Local) -> (LOCAL)[4]MontesSicario: sapa
[2020:10:11-00:06:22]  (Local) -> (LOCAL)[4][GT]FranciscoBY: DARIA POR HAY 3 MILLONES Y ESO
[2020:10:11-00:06:22]  (Local) -> (LOCAL)[4]2cb'EteSech: ya sabex
[2020:10:11-00:06:24]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: te amo
[2020:10:11-00:06:25]  (Local) -> (LOCAL)[2]-->pan: no
[2020:10:11-00:06:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: tmb
[2020:10:11-00:06:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: me amas?
[2020:10:11-00:06:28]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: yo
[2020:10:11-00:06:31]  (Local) -> (LOCAL)[2][GT]Jhojan: ole
[2020:10:11-00:06:33]  (Local) -> (LOCAL)[3]-->pan: usted a mi?
[2020:10:11-00:06:34]  (Global) -> ProductiveDagger70: maldito policia
[2020:10:11-00:06:35]  (Local) -> (LOCAL)[1]2cb'EteSech: manco
[2020:10:11-00:06:37]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#A9A9A9 KevinOcampo: en medi hora
[2020:10:11-00:06:38]  (Local) -> (LOCAL)[1][GT]Jhojan: me va a arreglar el carro?
[2020:10:11-00:06:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: m voy
[2020:10:11-00:06:41]  (Local) -> (LOCAL)[1][GT]Jhojan: todo bn
[2020:10:11-00:06:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: a matar a alguien
[2020:10:11-00:06:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: pa donde parse
[2020:10:11-00:06:44]  (Local) -> (LOCAL)[1]AndresCanson: es aqui xd
[2020:10:11-00:06:45]  (Global) -> 2cb'#SINER: a
[2020:10:11-00:06:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#1F00FFCristoNosAbandono: de bna?
[2020:10:11-00:06:48]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 KevinOcampo: si
[2020:10:11-00:06:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: xd
[2020:10:11-00:06:50]  (Global) -> rodolfo_martinez: ooe
[2020:10:11-00:06:50]  (Local) -> (LOCAL)[1][GT]FranciscoBY: ME TOCA CADA 2 MINUTOS
[2020:10:11-00:06:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: ey como asi cucho
[2020:10:11-00:06:54]  (Local) -> (LOCAL)[1]SelfMade: este es el mejor cacharoo que tiene?
[2020:10:11-00:06:57]  (Global) -> [GT]CARRANCHO: vendo land cruiser mela
[2020:10:11-00:06:57]  (Local) -> (LOCAL)[1]AndresCanson: no
[2020:10:11-00:06:59]  (Global) -> 2cb'#SINER: kihubo pues parce
[2020:10:11-00:07:00]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 KevinOcampo: ud no sabia
[2020:10:11-00:07:00]  (Team - Law Enforcement) -> (TEAM)2cb'AlejoCS: todos los 2cb tiene que ser evacuados
[2020:10:11-00:07:00]  (Global) -> 2cb'#SINER: #000000 ( ͡ ͡#ff0000°#000000  ͜ ʖ ͡ ͡#ff0000°#000000)
[2020:10:11-00:07:01]  (Local) -> (LOCAL)[1]SelfMade: listos mañana vengoje
[2020:10:11-00:07:03]  (Local) -> (LOCAL)[1]AndresCanson: pero umildá
[2020:10:11-00:07:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: pana
[2020:10:11-00:07:04]  (Local) -> (LOCAL)[1][GT]Jhojan: sisa
[2020:10:11-00:07:06]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: a mi no me cuentan na
[2020:10:11-00:07:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 KevinOcampo: ud sabe
[2020:10:11-00:07:10]  (Local) -> (LOCAL)[1][GT]Jhojan: por eso me demore en decirle
[2020:10:11-00:07:13]  (Local) -> (LOCAL)[1]AndresCanson: soy humilde XD
[2020:10:11-00:07:13]  (Local) -> (LOCAL)[3][GT]Jhojan: d
[2020:10:11-00:07:15]  (Local) -> (LOCAL)[1]SelfMade: claro, no hay que dejar de ser humildes
[2020:10:11-00:07:16]  (Local) -> (LOCAL)[5][GT]Jhojan: xd
[2020:10:11-00:07:18]  (Local) -> (LOCAL)[1]SelfMade: pai
[2020:10:11-00:07:19]  (Global) -> [GT]CARRANCHO: vendo land cruiser mela
[2020:10:11-00:07:20]  (Global) -> ET3RN0: o
[2020:10:11-00:07:20]  (Local) -> (LOCAL)[1]AndresCanson: sisa
[2020:10:11-00:07:21]  (Local) -> (LOCAL)[1][GT]Jhojan: gracias
[2020:10:11-00:07:21]  (Global) -> ET3RN0: alto
[2020:10:11-00:07:26]  (Local) -> (LOCAL)[1]GT|OLAVE: ey pero es lento
[2020:10:11-00:07:27]  (Local) -> (LOCAL)[2]MontesSicario: a ver dispare de para otro lado
[2020:10:11-00:07:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: q va
[2020:10:11-00:07:29]  (Local) -> (LOCAL)[2]AndresCanson: tengo mas umildes xdddw
[2020:10:11-00:07:32]  (Global) -> ET3RN0: lleveme
[2020:10:11-00:07:35]  (Local) -> (LOCAL)[2][GT]FranciscoBY: PRODUCTIVE QUIETESE EL JOB
[2020:10:11-00:07:36]  (Local) -> (LOCAL)[1]MontesSicario: y despues apunte
[2020:10:11-00:07:36]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: lilpusyy quitate eso del nombre
[2020:10:11-00:07:37]  (Local) -> (LOCAL)[2][GT]Jhojan: quitese el job mka
[2020:10:11-00:07:39]  (Global) -> [GT]CARRANCHO: carding donde
[2020:10:11-00:07:39]  (Global) -> ET3RN0: BUS
[2020:10:11-00:07:40]  (Local) -> (LOCAL)[1]2cb'pablitopai: como asi
[2020:10:11-00:07:41]  (Local) -> (LOCAL)[1]|2cb|Jabon: Ps esta stock y es pa driftear xd
[2020:10:11-00:07:41]  (Local) -> (LOCAL)[2]SelfMade: yo soy tan humilde que no tengo ni carro
[2020:10:11-00:07:42]  (Local) -> (LOCAL)[2][GT]FranciscoBY: QUE NOS JODEN
[2020:10:11-00:07:42]  (Local) -> (LOCAL)[8]2cb'FabiusxGaming: es del gang xd
[2020:10:11-00:07:42]  (Local) -> (LOCAL)[1]MontesSicario: dispare
[2020:10:11-00:07:43]  (Local) -> (LOCAL)[2][GT]Jhojan: deke /resign
[2020:10:11-00:07:44]  (Local) -> (LOCAL)[8]2cb'Horizon: a
[2020:10:11-00:07:45]  (Local) -> (LOCAL)[1]MontesSicario: y apunte
[2020:10:11-00:07:47]  (Local) -> (LOCAL)[8]|2cb|dilan: q gva
[2020:10:11-00:07:48]  (Global) -> ET3RN0: LLEVEME
[2020:10:11-00:07:50]  (Local) -> (LOCAL)[1]MontesSicario: de pa otro lado
[2020:10:11-00:07:52]  (Local) -> (LOCAL)[1]MontesSicario: sin hacer el cbug
[2020:10:11-00:07:53]  (Local) -> (LOCAL)[7]2cb'Horizon: bn
[2020:10:11-00:07:54]  (Local) -> (LOCAL)[1]2cb'pablitopai: yo ya se eso
[2020:10:11-00:07:56]  (Local) -> (LOCAL)[2][GT]Jhojan: ProductiveDagger70 es un pirobo
[2020:10:11-00:07:56]  (Local) -> (LOCAL)[1]2cb'pablitopai: a
[2020:10:11-00:07:59]  (Local) -> (LOCAL)[2]AndresCanson: si quieres escribir por el chat de la gang es con el comando /gc "mensaje"
[2020:10:11-00:08:00]  (Local) -> (LOCAL)[1]2cb'pablitopai: o asi
[2020:10:11-00:08:01]  (Global) -> ET3RN0: siga 
[2020:10:11-00:08:01]  (Global) -> [GT]CARRANCHO: carding
[2020:10:11-00:08:03]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: A
[2020:10:11-00:08:03]  (Local) -> (LOCAL)[1]2cb'pablitopai: como asi
[2020:10:11-00:08:06]  (Local) -> (LOCAL)[3][GT]Jhojan: la vez pasda le estaba haciendo un favor
[2020:10:11-00:08:07]  (Local) -> (LOCAL)[1]MontesSicario: olvidelo
[2020:10:11-00:08:07]  (Global) -> ET3RN0: hasta el hspital
[2020:10:11-00:08:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: tontorron
[2020:10:11-00:08:09]  (Local) -> (LOCAL)[3][GT]Jhojan: y me dejo morir
[2020:10:11-00:08:10]  (Global) -> [GT]~CARDING: dime
[2020:10:11-00:08:14]  (Local) -> (LOCAL)[2]AndresCanson: usted es rrrrrreuimldee xdd
[2020:10:11-00:08:14]  (Global) -> [S.A.S][P]DonAlberto: Listo
[2020:10:11-00:08:15]  (Global) -> ET3RN0: q queda cerca a pistolas
[2020:10:11-00:08:16]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: cuanto tiene?
[2020:10:11-00:08:17]  (Local) -> (LOCAL)[2]SelfMade: se ya se , solo no se que decir je
[2020:10:11-00:08:19]  (Local) -> (LOCAL)[2][GT]Jhojan: 6fps
[2020:10:11-00:08:24]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: ey q paso
[2020:10:11-00:08:26]  (Local) -> (LOCAL)[2]AndresCanson: diga
[2020:10:11-00:08:27]  (Local) -> (LOCAL)[3]WICHOO: DEJEME SANO
[2020:10:11-00:08:28]  (Local) -> (LOCAL)[2]AndresCanson: el pepe
[2020:10:11-00:08:29]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: a estoi de tomnbo
[2020:10:11-00:08:32]  (Local) -> (LOCAL)[2]SelfMade: pa que vea
[2020:10:11-00:08:34]  (Local) -> (LOCAL)[3]WICHOO: YO NO LE HE HECHO NADA
[2020:10:11-00:08:35]  (Local) -> (LOCAL)[2]SelfMade: eteech
[2020:10:11-00:08:35]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: SelfMade cuanto dinero tiene?
[2020:10:11-00:08:35]  (Local) -> (LOCAL)[2]AndresCanson: XDD
[2020:10:11-00:08:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: wow
[2020:10:11-00:08:39]  (Global) -> [GT]CARRANCHO: lo estoy esperando
[2020:10:11-00:08:41]  (Local) -> (LOCAL)[2]AndresCanson: maicol mamaguevasoo
[2020:10:11-00:08:45]  (Global) -> AndresCanson: donde estaa??
[2020:10:11-00:08:47]  (Local) -> (LOCAL)[2]SelfMade: jajaja
[2020:10:11-00:08:50]  (Local) -> (LOCAL)[4][GT]~CARDING: dile
[2020:10:11-00:08:54]  (Local) -> (LOCAL)[4][GT]CARRANCHO: que vamos a averiguar
[2020:10:11-00:08:58]  (Local) -> (LOCAL)[2]AndresCanson: ejej
[2020:10:11-00:09:00]  (Local) -> (LOCAL)[5][GT]~CARDING: que vamos a veriguar el bote gang
[2020:10:11-00:09:00]  (Local) -> (LOCAL)[2]GT|OLAVE: SE LO COMPRO
[2020:10:11-00:09:03]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: SelfMade cuanto dinero tiene?
[2020:10:11-00:09:03]  (Local) -> (LOCAL)[2]|2cb|Jabon: breve
[2020:10:11-00:09:04]  (Local) -> (LOCAL)[6][GT]~CARDING: y ajoder
[2020:10:11-00:09:06]  (Local) -> (LOCAL)[8]SelfMade: tengo 40lukitas
[2020:10:11-00:09:08]  (Local) -> (LOCAL)[6][GT]CARRANCHO: aaa
[2020:10:11-00:09:08]  (Local) -> (LOCAL)[7]2cb'FabiusxGaming: es del gang
[2020:10:11-00:09:12]  (Local) -> (LOCAL)[6][GT]Jhojan: en heeli
[2020:10:11-00:09:12]  (Local) -> (LOCAL)[3]AndresCanson: uy
[2020:10:11-00:09:13]  (Local) -> (LOCAL)[5][GT]~CARDING: tire tele pikete
[2020:10:11-00:09:16]  (Local) -> (LOCAL)[2]AndresCanson: anda forrada
[2020:10:11-00:09:17]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: mucho
[2020:10:11-00:09:17]  (Global) -> AmazingButter1: como trabajo de rappi??
[2020:10:11-00:09:19]  (Global) -> [GT]FranciscoBY: compro flash
[2020:10:11-00:09:21]  (Global) -> [GT]CARRANCHO: andres llegue al hospital de ammun
[2020:10:11-00:09:23]  (Global) -> AmazingButter1: alguien ayudaaaa
[2020:10:11-00:09:25]  (Local) -> (LOCAL)[8]2cb'Horizon: na
[2020:10:11-00:09:31]  (Local) -> (LOCAL)[5]|2cb|dilan: ash
[2020:10:11-00:09:34]  (Local) -> (LOCAL)[6]2cb'Horizon: .i.
[2020:10:11-00:09:34]  (Local) -> (LOCAL)[5]|2cb|dilan: bno solo es 1
[2020:10:11-00:09:34]  (Local) -> (LOCAL)[3]SelfMade: pablo me tiro la liga
[2020:10:11-00:09:36]  (Team - Services) -> (TEAM)AmazingButter1: estoy en una moto pizzaboy como trabajo de rappi?
[2020:10:11-00:09:38]  (Local) -> (LOCAL)[7]|2cb|dilan: <3
[2020:10:11-00:09:39]  (Local) -> (LOCAL)[7]AndresCanson: xd
[2020:10:11-00:09:39]  (Local) -> (LOCAL)[7]SelfMade: el es un berraco
[2020:10:11-00:09:40]  (Local) -> (LOCAL)[7]2cb'Horizon: jausz
[2020:10:11-00:09:40]  (Local) -> (LOCAL)[8]LR|-PABLO-|GT: Oe andres
[2020:10:11-00:09:41]  (Global) -> TIROFIJO420: ajajajaajaj
[2020:10:11-00:09:47]  (Global) -> TIROFIJO420: por toposo
[2020:10:11-00:09:49]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: AmazingButter1 debes ir a una R en el mapa
[2020:10:11-00:09:49]  (Local) -> (LOCAL)[10]AndresCanson: yo le enseño mas bien a camellar XD
[2020:10:11-00:09:49]  (Local) -> (LOCAL)[10]LR|-PABLO-|GT: llevalo al banco
[2020:10:11-00:09:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: a
[2020:10:11-00:09:55]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: llevalo al banco
[2020:10:11-00:09:55]  (Local) -> (LOCAL)[9]|2cb|dilan: nooooooo
[2020:10:11-00:09:55]  (Local) -> (LOCAL)[1]|2cb|Jabon: aa
[2020:10:11-00:09:56]  (Global) -> [GT]~CARDING: vamos
[2020:10:11-00:09:56]  (Global) -> ET3RN0: gracias
[2020:10:11-00:09:58]  (Local) -> (LOCAL)[3]SelfMade: no me sirve
[2020:10:11-00:10:00]  (Global) -> [S.A.S][P]DonAlberto: Ale
[2020:10:11-00:10:00]  (Local) -> (LOCAL)[6]2cb'Horizon: ud es el toposo
[2020:10:11-00:10:02]  (Local) -> (LOCAL)[8]|2cb|dilan: ya
[2020:10:11-00:10:04]  (Local) -> (LOCAL)[12]AndresCanson: sxd
[2020:10:11-00:10:06]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xd
[2020:10:11-00:10:06]  (Local) -> (LOCAL)[12]2cb'LILPUSSY[1]: noooooooooo
[2020:10:11-00:10:07]  (Global) -> TIROFIJO420: ne
[2020:10:11-00:10:07]  (Global) -> [PERU]Walter: VENDO BULLET
[2020:10:11-00:10:09]  (Local) -> (LOCAL)[6]|2cb|dilan: yandrix
[2020:10:11-00:10:09]  (Global) -> TIROFIJO420: yo ando cogiendo taser
[2020:10:11-00:10:10]  (Local) -> (LOCAL)[1][GT]~CARDING: usted es vip
[2020:10:11-00:10:11]  (Global) -> TIROFIJO420: uds no dejan salir
[2020:10:11-00:10:13]  (Local) -> (LOCAL)[1][GT]~CARDING: arreglelo
[2020:10:11-00:10:13]  (Local) -> (LOCAL)[7]2cb'LILPUSSY[1]: es ganggggw
[2020:10:11-00:10:13]  (Local) -> (LOCAL)[1][GT]Jhojan: nonas
[2020:10:11-00:10:15]  (Local) -> (LOCAL)[7]Yandrixin: ???
[2020:10:11-00:10:16]  (Local) -> (LOCAL)[1][GT]~CARDING: XD
[2020:10:11-00:10:18]  (Global) -> 2cb'Horizon: bno sapa
[2020:10:11-00:10:19]  (Local) -> (LOCAL)[7]|2cb|dilan: es ganggg
[2020:10:11-00:10:20]  (Local) -> (LOCAL)[7]2cb'FabiusxGaming: mk te llevo rato diciendo
[2020:10:11-00:10:21]  (Local) -> (LOCAL)[7]2cb'FabiusxGaming: que es del gang
[2020:10:11-00:10:22]  (Local) -> (LOCAL)[7]|2cb|dilan: que gvass parse
[2020:10:11-00:10:22]  (Local) -> (LOCAL)[1][GT]~CARDING: digale a carrancho
[2020:10:11-00:10:22]  (Local) -> (LOCAL)[7]2cb'LILPUSSY[1]: es gannggggggggggggggggggggg
[2020:10:11-00:10:27]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: a
[2020:10:11-00:10:27]  (Local) -> (LOCAL)[5]SelfMade: ajaj
[2020:10:11-00:10:29]  (Global) -> [GT]Jhojan: carrancho
[2020:10:11-00:10:29]  (Local) -> (LOCAL)[5]AndresCanson: perros hps
[2020:10:11-00:10:30]  (Local) -> (LOCAL)[1][GT]~CARDING: que se apure
[2020:10:11-00:10:32]  (Global) -> [CAPU]penecabezon: cha loca ese mrk
[2020:10:11-00:10:33]  (Global) -> TIROFIJO420: sapa la que tiene tu madre entre las piernasw
[2020:10:11-00:10:37]  (Global) -> [GT]Jhojan: [GT]FranciscoBY[4]
[2020:10:11-00:10:41]  (Global) -> TIROFIJO420: JAJAJAJA
[2020:10:11-00:10:44]  (Global) -> [GT]Jhojan: caiga piketes
[2020:10:11-00:10:44]  (Global) -> 2cb'Horizon: na el q habla de toposo
[2020:10:11-00:10:44]  (Global) -> [GT]~CARDING: carrancho
[2020:10:11-00:10:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: fransis
[2020:10:11-00:10:45]  (Global) -> [GT]CARRANCHO: jhojan que
[2020:10:11-00:10:46]  (Local) -> (LOCAL)[3]AndresCanson: a
[2020:10:11-00:10:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: qe
[2020:10:11-00:10:49]  (Global) -> 2cb'Horizon: q man tan gei
[2020:10:11-00:10:50]  (Local) -> (LOCAL)[3]AndresCanson: vamos
[2020:10:11-00:10:51]  (Global) -> [GT]Jhojan: caiga piketes
[2020:10:11-00:10:51]  (Local) -> (LOCAL)[3]SelfMade: lo que hay es plata sio que
[2020:10:11-00:10:54]  (Global) -> [CAPU]penecabezon: oiga esos mrkas de los zetas son mrkas 
[2020:10:11-00:10:55]  (Global) -> [GT]~CARDING: llegue a piketes
[2020:10:11-00:10:55]  (Local) -> (LOCAL)[4]AndresCanson: no
[2020:10:11-00:10:55]  (Global) -> [GT]Jhojan: con /tele
[2020:10:11-00:10:55]  (Global) -> 2cb'Horizon: tipico niño
[2020:10:11-00:10:57]  (Local) -> (LOCAL)[3]AndresCanson: XD
[2020:10:11-00:10:57]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000_SEMDS_: ud sabe que yo lo quiero mucho
[2020:10:11-00:11:00]  (Local) -> (LOCAL)[3]AndresCanson: toco sacar el umilde
[2020:10:11-00:11:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: pq
[2020:10:11-00:11:05]  (Global) -> [CAPU]penecabezon: se desconecta cuando uno los captura
[2020:10:11-00:11:11]  (Global) -> [CAPU]penecabezon: chas lokas
[2020:10:11-00:11:12]  (Local) -> (LOCAL)[3]SelfMade: humildad jaja
[2020:10:11-00:11:12]  (Local) -> (LOCAL)[3]AndresCanson: este es el banco
[2020:10:11-00:11:14]  (Local) -> (LOCAL)[2]GT|OLAVE: aaaa
[2020:10:11-00:11:16]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: nombre
[2020:10:11-00:11:16]  (Local) -> (LOCAL)[2]|2cb|Jabon: ya
[2020:10:11-00:11:19]  (Local) -> (LOCAL)[3]LR|-PABLO-|GT: SelfMade venga
[2020:10:11-00:11:20]  (Local) -> (LOCAL)[1][GT]~CARDING: melo ese tema
[2020:10:11-00:11:21]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: ud sabe que yo lo quiero mucho
[2020:10:11-00:11:24]  (Global) -> #7F7F7F|CVR|#FF0000Kreator: pene cabezon
[2020:10:11-00:11:27]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: siono
[2020:10:11-00:11:29]  (Local) -> (LOCAL)[1][GT]Jhojan: sisas
[2020:10:11-00:11:29]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: si
[2020:10:11-00:11:32]  (Local) -> (LOCAL)[1][GT]~CARDING: esperemos
[2020:10:11-00:11:32]  (Local) -> (LOCAL)[3]SelfMade: y aqui es donde me v a depositar o que
[2020:10:11-00:11:33]  (Global) -> [CAPU]penecabezon: no ni lo vi
[2020:10:11-00:11:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000_SEMDS_: entonces
[2020:10:11-00:11:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: ud pq es asi parse
[2020:10:11-00:11:40]  (Local) -> (LOCAL)[3]AndresCanson: vaya y guarde el billete
[2020:10:11-00:11:42]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: asicomo
[2020:10:11-00:11:42]  (Global) -> ET3RN0: q paso loka
[2020:10:11-00:11:42]  (Global) -> [GT]~CARDING: carrancho
[2020:10:11-00:11:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: q hice
[2020:10:11-00:11:45]  (Local) -> (LOCAL)[2]|2cb|Jabon: listo
[2020:10:11-00:11:45]  (Local) -> (LOCAL)[4]yonsinam19: broo
[2020:10:11-00:11:46]  (Global) -> [GT]~CARDING: apurese
[2020:10:11-00:11:47]  (Local) -> (LOCAL)[2]GT|OLAVE: bn}
[2020:10:11-00:11:48]  (Global) -> [PERU]Walter: VENDO BULLET
[2020:10:11-00:11:48]  (Local) -> (LOCAL)[1][GT]Jhojan: ole q chimba de lancha
[2020:10:11-00:11:50]  (Global) -> JuanEstrada: ayuda 
[2020:10:11-00:11:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: pss asi parse mio
[2020:10:11-00:11:53]  (Local) -> (LOCAL)[4]yonsinam19: como dejo de ser tombo
[2020:10:11-00:11:53]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Aca guarda su plata pa que no se la roben
[2020:10:11-00:11:54]  (Global) -> [S.A.S][P]DonAlberto: ¿Algún Toretto?
[2020:10:11-00:11:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: ajjaja pero yo q hago
[2020:10:11-00:12:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: ash
[2020:10:11-00:12:01]  (Local) -> (LOCAL)[1][GT]Jhojan: el color
[2020:10:11-00:12:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: si vos me caes re bien
[2020:10:11-00:12:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: si pilla
[2020:10:11-00:12:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: chao
[2020:10:11-00:12:10]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: en deposit es para guardar y withdraw pa sacar
[2020:10:11-00:12:14]  (Local) -> (LOCAL)[2]SelfMade: esta mal si
[2020:10:11-00:12:18]  (Local) -> (LOCAL)[2]2cb'pablitopai: a
[2020:10:11-00:12:18]  (Local) -> (LOCAL)[7]yonsinam19: brooo
[2020:10:11-00:12:19]  (Local) -> (LOCAL)[2]SelfMade: meti toda la plata?
[2020:10:11-00:12:24]  (Local) -> (LOCAL)[5]2cb[Dagarbimba: noa
[2020:10:11-00:12:26]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: Mejor
[2020:10:11-00:12:26]  (Local) -> (LOCAL)[1]Don_Joker-5fps.: oeoeoe
[2020:10:11-00:12:26]  (Global) -> rodolfo_martinez: oooe
[2020:10:11-00:12:29]  (Local) -> (LOCAL)[2]SelfMade: o me quedo con alguito como pa los gastos diarios
[2020:10:11-00:12:29]  (Local) -> (LOCAL)[7]yonsinam19: como dejo de ser tombo
[2020:10:11-00:12:30]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: HOLA ZETAS DILAN
[2020:10:11-00:12:30]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: asi no le roban nada
[2020:10:11-00:12:31]  (Local) -> (LOCAL)[7]CAPITAN: como vamos
[2020:10:11-00:12:32]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: COMO ESTAS
[2020:10:11-00:12:32]  (Global) -> [GT]Jhojan: ay algo en ti nenaaaa
[2020:10:11-00:12:35]  (Local) -> (LOCAL)[2]Don_Joker-5fps.: lo vende?
[2020:10:11-00:12:36]  (Local) -> (LOCAL)[4]2cb[Dagarbimba: e no
[2020:10:11-00:12:37]  (Global) -> |2cb|dilan: EY ESTE PARSERO Q
[2020:10:11-00:12:38]  (Local) -> (LOCAL)[2]SelfMade: me pueden robar? kasjdaks
[2020:10:11-00:12:38]  (Global) -> ProductiveDagger70: SUBATE POLICIA
